"site","plot","bg","date","crop","treatment","land_type"
"Agronomy Farm","1",133.28,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","2",188.44,"June 2021","Willow","Biochar","Agriculture"
"Agronomy Farm","3",194.98,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","4",175.99,"June 2021","Switchgrass","Biochar","Agriculture"
"Agronomy Farm","5",117.88,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","6",199.59,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","7",197.96,"June 2021","Willow","Biochar","Agriculture"
"Agronomy Farm","8",129.87,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","9",195.37,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","10",112.71,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","11",217.51,"June 2021","Switchgrass","Biochar","Agriculture"
"Agronomy Farm","12",233,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","13",131,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","14",86.03,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","15",185.43,"June 2021","Switchgrass","Biochar","Agriculture"
"Agronomy Farm","16",178.33,"June 2021","Willow","Biochar","Agriculture"
"Agronomy Farm","17",114.72,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","18",95.4,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","19",113.28,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","20",152,"June 2021","Switchgrass","Control","Agriculture"
"Agronomy Farm","21",161.04,"June 2021","Switchgrass","Biochar","Agriculture"
"Agronomy Farm","22",130.8,"June 2021","Willow","Control","Agriculture"
"Agronomy Farm","23",148.85,"June 2021","Willow","Biochar","Agriculture"
"Agronomy Farm","24",132.64,"June 2021","Willow","Control","Agriculture"
"Allstar Mine 1","1",191.79,"June 2021","Willow","Control","Mine"
"Allstar Mine 1","2",179.36,"June 2021","Willow","Control","Mine"
"Allstar Mine 1","3",193.27,"June 2021","Willow","Biochar","Mine"
