"site","plot","subsample_weight","POM...MAOM","fraction","crop","treatment","date","land_type","CN","maom_cn_bc"
"Agronomy Farm",1,10.01,10.4,"MAOM","Willow","Control","August 2022","Agriculture",8.60172626387176,0.49324230216246
"Agronomy Farm",2,10,10.27,"MAOM","Willow","Biochar","August 2022","Agriculture",10.1053384175405,0.495103697063325
"Agronomy Farm",3,9.99,10.55,"MAOM","Willow","Control","August 2022","Agriculture",9.46018018018018,0.494413096268103
"Agronomy Farm",4,10.02,10.5,"MAOM","Switchgrass","Biochar","August 2022","Agriculture",9.69763313609467,0.494683344713295
"Agronomy Farm",5,9.98,10.57,"MAOM","Switchgrass","Control","August 2022","Agriculture",9.04027226318775,0.493882035058647
"Agronomy Farm",6,10.02,9.95,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.79770318021201,0.493540016729501
"Agronomy Farm",7,10.01,10.43,"MAOM","Willow","Biochar","August 2022","Agriculture",10.3750815394651,0.495354986643128
"Agronomy Farm",8,10.01,10.27,"MAOM","Willow","Control","August 2022","Agriculture",8.78170237405906,0.493516454302919
"Agronomy Farm",9,10.01,10.45,"MAOM","Willow","Control","August 2022","Agriculture",9.12768240343348,0.493998649892442
"Agronomy Farm",10,9.99,10.32,"MAOM","Switchgrass","Control","August 2022","Agriculture",9.25394235997825,0.494161296464718
"Agronomy Farm",11,9.99,10.39,"MAOM","Switchgrass","Biochar","August 2022","Agriculture",9.55786196159834,0.494526709537301
"Agronomy Farm",12,9.98,9.92,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.88788167938931,0.493670440663002
"Agronomy Farm",13,9.98,10.66,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.84009137635637,0.493601819379871
"Agronomy Farm",14,10.01,10.02,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.6856403622251,0.493372246948365
"Agronomy Farm",15,10,10.48,"MAOM","Switchgrass","Biochar","August 2022","Agriculture",9.79001996007984,0.494783216064599
"Agronomy Farm",16,10,10.79,"MAOM","Willow","Biochar","August 2022","Agriculture",10.1714285714286,0.495167119050625
"Agronomy Farm",17,9.99,10.53,"MAOM","Willow","Control","August 2022","Agriculture",9.00343053173242,0.493831863609471
"Agronomy Farm",18,10.01,10.19,"MAOM","Willow","Control","August 2022","Agriculture",9.11604278074866,0.493983314719502
"Agronomy Farm",19,10.02,10.38,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.72373949579832,0.493430011225403
"Agronomy Farm",20,10.02,10.2,"MAOM","Switchgrass","Control","August 2022","Agriculture",8.94321254732288,0.493748519232583
"Agronomy Farm",22,10.02,11.54,"MAOM","Willow","Control","August 2022","Agriculture",8.57745664739885,0.493204006717272
"Agronomy Farm",23,10.02,10.26,"MAOM","Willow","Biochar","August 2022","Agriculture",9.25925925925926,0.494168
"Agronomy Farm",24,10,10.2,"MAOM","Willow","Control","August 2022","Agriculture",8.68623481781376,0.493373154077888
"Allstar Mine 1",1,10.02,10.75,"MAOM","Willow","Control","August 2022","Mine",9.54091238233164,0.494507245492255
"Allstar Mine 1",2,9.99,10.42,"MAOM","Willow","Control","August 2022","Mine",9.15170355632927,0.494030112921108
"Allstar Mine 1",3,10.02,10.4,"MAOM","Willow","Biochar","August 2022","Mine",10.3019607843137,0.49528881433748
"Allstar Mine 1",4,10,10.2,"MAOM","Switchgrass","Control","August 2022","Mine",9.31622516556291,0.494239103785352
