"site","plot","subsample_weight","POM...MAOM","fraction","maom_weight","crop","treatment","date","land_type","cbrt_weight"
"Agronomy Farm",1,10.01,10.4,"MAOM",8.75,"Willow","Control","August 2022","Agriculture",1.20277137242962
"Agronomy Farm",2,10,10.27,"MAOM",8.43,"Willow","Biochar","August 2022","Agriculture",1.27239632706277
"Agronomy Farm",3,9.99,10.55,"MAOM",8.35,"Willow","Control","August 2022","Agriculture",1.2886587425421
"Agronomy Farm",4,10.02,10.5,"MAOM",8.66,"Switchgrass","Biochar","August 2022","Agriculture",1.22316120069309
"Agronomy Farm",5,9.98,10.57,"MAOM",8.84,"Switchgrass","Control","August 2022","Agriculture",1.1816657504675
"Agronomy Farm",6,10.02,9.95,"MAOM",7.94,"Switchgrass","Control","August 2022","Agriculture",1.36619720804723
"Agronomy Farm",7,10.01,10.43,"MAOM",8.68,"Willow","Biochar","August 2022","Agriculture",1.21868890774198
"Agronomy Farm",8,10.01,10.27,"MAOM",8.56,"Willow","Control","August 2022","Agriculture",1.24504706735388
"Agronomy Farm",9,10.01,10.45,"MAOM",8.47,"Willow","Control","August 2022","Agriculture",1.26410686486327
"Agronomy Farm",10,9.99,10.32,"MAOM",8.89,"Switchgrass","Control","August 2022","Agriculture",1.16960709528515
"Agronomy Farm",11,9.99,10.39,"MAOM",8.42,"Switchgrass","Biochar","August 2022","Agriculture",1.2744518982084
"Agronomy Farm",12,9.98,9.92,"MAOM",7.92,"Switchgrass","Control","August 2022","Agriculture",1.36975966800264
"Agronomy Farm",13,9.98,10.66,"MAOM",8.93,"Switchgrass","Control","August 2022","Agriculture",1.1597779995298
"Agronomy Farm",14,10.01,10.02,"MAOM",8.12,"Switchgrass","Control","August 2022","Agriculture",1.33326388527168
"Agronomy Farm",15,10,10.48,"MAOM",8.48,"Switchgrass","Biochar","August 2022","Agriculture",1.26201742822
"Agronomy Farm",16,10,10.79,"MAOM",8.73,"Willow","Biochar","August 2022","Agriculture",1.20736214735954
"Agronomy Farm",17,9.99,10.53,"MAOM",8.39,"Willow","Control","August 2022","Agriculture",1.28057916498749
"Agronomy Farm",18,10.01,10.19,"MAOM",8.18,"Willow","Control","August 2022","Agriculture",1.32191640828431
"Agronomy Farm",19,10.02,10.38,"MAOM",7.9,"Switchgrass","Control","August 2022","Agriculture",1.37330369328893
"Agronomy Farm",20,10.02,10.2,"MAOM",7.85,"Switchgrass","Control","August 2022","Agriculture",1.38208464600224
"Agronomy Farm",21,10,10.49,"MAOM",8.43,"Switchgrass","Biochar","August 2022","Agriculture",1.27239632706277
"Agronomy Farm",22,10.02,11.54,"MAOM",9.13,"Willow","Control","August 2022","Agriculture",1.10793165135089
"Agronomy Farm",23,10.02,10.26,"MAOM",8.24,"Willow","Biochar","August 2022","Agriculture",1.31037069710445
"Agronomy Farm",24,10,10.2,"MAOM",8.66,"Willow","Control","August 2022","Agriculture",1.22316120069309
"Allstar Mine 1",1,10.02,10.75,"MAOM",6.58,"Willow","Control","August 2022","Mine",1.57540511960461
"Allstar Mine 1",2,9.99,10.42,"MAOM",6.81,"Willow","Control","August 2022","Mine",1.54388852587233
"Allstar Mine 1",3,10.02,10.4,"MAOM",7.12,"Willow","Biochar","August 2022","Mine",1.49925889316
"Allstar Mine 1",4,10,10.2,"MAOM",6.63,"Switchgrass","Control","August 2022","Mine",1.56866100826904
"Allstar Mine 1",5,10.02,9.72,"MAOM",5.64,"Switchgrass","Biochar","August 2022","Mine",1.69270228137218
"Allstar Mine 1",6,9.98,10.51,"MAOM",6.83,"Switchgrass","Control","August 2022","Mine",1.54108654416791
"Allstar Mine 1",7,9.99,10.09,"MAOM",6.77,"Willow","Biochar","August 2022","Mine",1.54946217899916
"Allstar Mine 1",8,10.01,10.1,"MAOM",6.54,"Willow","Control","August 2022","Mine",1.58075912888041
