"site","plot","subsample_weight","POM...MAOM","fraction","crop","treatment","date","land_type","CN","pom_log_cn"
"Agronomy Farm",1,10.01,10.4,"POM","Willow","Control","August 2022","Agriculture",15.4723738062756,2.73905609859719
"Agronomy Farm",2,10,10.27,"POM","Willow","Biochar","August 2022","Agriculture",23.5757891990608,3.16022030405935
"Agronomy Farm",3,9.99,10.55,"POM","Willow","Control","August 2022","Agriculture",13.0237842429391,2.56677724300956
"Agronomy Farm",4,10.02,10.5,"POM","Switchgrass","Biochar","August 2022","Agriculture",25.8746635909266,3.25326425018417
"Agronomy Farm",5,9.98,10.57,"POM","Switchgrass","Control","August 2022","Agriculture",15.9971144597627,2.77240835971061
"Agronomy Farm",6,10.02,9.95,"POM","Switchgrass","Control","August 2022","Agriculture",14.7743614001892,2.69289334071268
"Agronomy Farm",7,10.01,10.43,"POM","Willow","Biochar","August 2022","Agriculture",21.0363092695429,3.04624995753683
"Agronomy Farm",8,10.01,10.27,"POM","Willow","Control","August 2022","Agriculture",13.6558877364246,2.61417076463414
"Agronomy Farm",9,10.01,10.45,"POM","Willow","Control","August 2022","Agriculture",13.784108407761,2.62351636394811
"Agronomy Farm",11,9.99,10.39,"POM","Switchgrass","Biochar","August 2022","Agriculture",19.9990407673861,2.9956843107731
"Agronomy Farm",12,9.98,9.92,"POM","Switchgrass","Control","August 2022","Agriculture",13.2741477272727,2.58581836373162
"Agronomy Farm",13,9.98,10.66,"POM","Switchgrass","Control","August 2022","Agriculture",16.6114561766736,2.81009258845644
"Agronomy Farm",14,10.01,10.02,"POM","Switchgrass","Control","August 2022","Agriculture",14.3753098661378,2.66551214235633
"Agronomy Farm",15,10,10.48,"POM","Switchgrass","Biochar","August 2022","Agriculture",20.0436624907885,2.99791301853965
"Agronomy Farm",17,9.99,10.53,"POM","Willow","Control","August 2022","Agriculture",12.8527960526316,2.55356137931608
"Agronomy Farm",18,10.01,10.19,"POM","Willow","Control","August 2022","Agriculture",13.2572298325723,2.58454305136194
"Agronomy Farm",19,10.02,10.38,"POM","Switchgrass","Control","August 2022","Agriculture",17.290594498669,2.85016268306412
"Agronomy Farm",20,10.02,10.2,"POM","Switchgrass","Control","August 2022","Agriculture",15.5543859649123,2.7443426544764
"Agronomy Farm",21,10,10.49,"POM","Switchgrass","Biochar","August 2022","Agriculture",22.4131538852209,3.10964801352947
"Agronomy Farm",22,10.02,11.54,"POM","Willow","Control","August 2022","Agriculture",14.4982716049383,2.67402944266226
"Agronomy Farm",23,10.02,10.26,"POM","Willow","Biochar","August 2022","Agriculture",23.9969246540236,3.17792568272171
"Agronomy Farm",24,10,10.2,"POM","Willow","Control","August 2022","Agriculture",13.887457370216,2.63098608530962
"Allstar Mine 1",1,10.02,10.75,"POM","Willow","Control","August 2022","Mine",14.8602930509212,2.69869275988394
"Allstar Mine 1",2,9.99,10.42,"POM","Willow","Control","August 2022","Mine",14.3953997809419,2.66690869588704
"Allstar Mine 1",3,10.02,10.4,"POM","Willow","Biochar","August 2022","Mine",22.7784368457781,3.12581433607629
"Allstar Mine 1",4,10,10.2,"POM","Switchgrass","Control","August 2022","Mine",15.2147959183673,2.72226837007247
"Allstar Mine 1",5,10.02,9.72,"POM","Switchgrass","Biochar","August 2022","Mine",19.3407058823529,2.96221198792956
"Allstar Mine 1",6,9.98,10.51,"POM","Switchgrass","Control","August 2022","Mine",17.1651896490606,2.84288347543939
"Allstar Mine 1",7,9.99,10.09,"POM","Willow","Biochar","August 2022","Mine",17.7112836911832,2.87420193314211
"Allstar Mine 1",8,10.01,10.1,"POM","Willow","Control","August 2022","Mine",13.5994465582843,2.61002909767017
"Allstar Mine 1",9,10.01,10.68,"POM","Willow","Control","August 2022","Mine",14.2475391906672,2.65658420342807
"Allstar Mine 1",10,9.98,10.08,"POM","Switchgrass","Control","August 2022","Mine",14.9391911550771,2.703988038686
"Allstar Mine 1",11,10.02,10.71,"POM","Switchgrass","Control","August 2022","Mine",14.3342535081666,2.66265202320901
"Allstar Mine 1",12,10.02,10.3,"POM","Switchgrass","Biochar","August 2022","Mine",18.9078741913897,2.93957845918502
"Allstar Mine 1",13,10.02,10.2,"POM","Willow","Biochar","August 2022","Mine",32.5455657492355,3.48264113047244
"Allstar Mine 1",14,9.99,9.77,"POM","Willow","Control","August 2022","Mine",19.2840909090909,2.95928045075602
"Allstar Mine 1",15,10.02,10.16,"POM","Willow","Control","August 2022","Mine",20.0821631311622,2.99983201467703
"Allstar Mine 1",16,10,10.47,"POM","Switchgrass","Control","August 2022","Mine",20.7770833333333,3.03385061649993
"Allstar Mine 1",17,10,10.35,"POM","Switchgrass","Biochar","August 2022","Mine",19.3883858882298,2.96467422124234
"Allstar Mine 1",19,9.98,10.51,"POM","Willow","Biochar","August 2022","Mine",19.0423892100193,2.9466675052103
"Allstar Mine 1",20,9.99,10.18,"POM","Willow","Control","August 2022","Mine",16.2309474171879,2.78691975426442
"Allstar Mine 1",21,10.02,10.31,"POM","Willow","Control","August 2022","Mine",17.3812625250501,2.85539275960686
"Allstar Mine 1",22,10,10.44,"POM","Switchgrass","Control","August 2022","Mine",14.9217521527518,2.702820024392
"Allstar Mine 1",23,10.02,9.61,"POM","Switchgrass","Biochar","August 2022","Mine",24.7237580993521,3.20776464770742
"Allstar Mine 1",24,10,8.51,"POM","Switchgrass","Control","August 2022","Mine",14.3439597315436,2.66332892896088
"Allstar Mine 2",1,10.01,10.36,"POM","Willow","Control","August 2022","Mine",18.552183908046,2.92058751301567
"Allstar Mine 2",2,10,10.45,"POM","Willow","Biochar","August 2022","Mine",12.933131118158,2.55979232264492
"Allstar Mine 2",3,10.02,10.09,"POM","Willow","Control","August 2022","Mine",17.7490783976407,2.87633359331379
"Allstar Mine 2",4,9.99,10.48,"POM","Switchgrass","Biochar","August 2022","Mine",18.6548387096774,2.92610556067903
"Allstar Mine 2",5,9.99,10.4,"POM","Switchgrass","Control","August 2022","Mine",21.5514265164229,3.0704420100166
"Allstar Mine 2",6,10.02,10.53,"POM","Switchgrass","Control","August 2022","Mine",17.9988855869242,2.890309844142
"Allstar Mine 2",7,10.01,10.3,"POM","Willow","Control","August 2022","Mine",9.26972860125261,2.2267541020459
"Allstar Mine 2",8,10.02,10.44,"POM","Willow","Biochar","August 2022","Mine",17.6112311015119,2.86853682929296
"Allstar Mine 2",9,9.99,10.68,"POM","Willow","Control","August 2022","Mine",16.4111192392099,2.79795910748122
"Allstar Mine 2",10,10.01,10.2,"POM","Switchgrass","Biochar","August 2022","Mine",21.8087934560327,3.0823132580062
