"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Agronomy Farm",1,10.01,10.4,"POM",1.65,"Willow","Control","August 2022","Agriculture",0.493252318069364
"Agronomy Farm",2,10,10.27,"POM",1.84,"Willow","Biochar","August 2022","Agriculture",0.598635999887029
"Agronomy Farm",3,9.99,10.55,"POM",2.2,"Willow","Control","August 2022","Agriculture",0.769915541174768
"Agronomy Farm",4,10.02,10.5,"POM",1.84,"Switchgrass","Biochar","August 2022","Agriculture",0.598635999887029
"Agronomy Farm",5,9.98,10.57,"POM",1.73,"Switchgrass","Control","August 2022","Agriculture",0.539117234670708
"Agronomy Farm",6,10.02,9.95,"POM",2.01,"Switchgrass","Control","August 2022","Agriculture",0.683571384369358
"Agronomy Farm",7,10.01,10.43,"POM",1.75,"Willow","Biochar","August 2022","Agriculture",0.550232177420588
"Agronomy Farm",8,10.01,10.27,"POM",1.71,"Willow","Control","August 2022","Agriculture",0.527865164167758
"Agronomy Farm",9,10.01,10.45,"POM",1.98,"Willow","Control","August 2022","Agriculture",0.669149933981652
"Agronomy Farm",10,9.99,10.32,"POM",1.43,"Switchgrass","Control","August 2022","Agriculture",0.353825607937764
"Agronomy Farm",11,9.99,10.39,"POM",1.97,"Switchgrass","Biochar","August 2022","Agriculture",0.664291226464342
"Agronomy Farm",12,9.98,9.92,"POM",2,"Switchgrass","Control","August 2022","Agriculture",0.678789746915798
"Agronomy Farm",13,9.98,10.66,"POM",1.73,"Switchgrass","Control","August 2022","Agriculture",0.539117234670708
"Agronomy Farm",14,10.01,10.02,"POM",1.9,"Switchgrass","Control","August 2022","Agriculture",0.629530068970166
"Agronomy Farm",15,10,10.48,"POM",2,"Switchgrass","Biochar","August 2022","Agriculture",0.678789746915798
"Agronomy Farm",16,10,10.79,"POM",2.06,"Willow","Biochar","August 2022","Agriculture",0.7071071642289
"Agronomy Farm",17,9.99,10.53,"POM",2.14,"Willow","Control","August 2022","Agriculture",0.743532171984389
"Agronomy Farm",18,10.01,10.19,"POM",2.01,"Willow","Control","August 2022","Agriculture",0.683571384369358
"Agronomy Farm",19,10.02,10.38,"POM",2.48,"Switchgrass","Control","August 2022","Agriculture",0.883713008205378
"Agronomy Farm",20,10.02,10.2,"POM",2.35,"Switchgrass","Control","August 2022","Agriculture",0.832670294946715
"Agronomy Farm",21,10,10.49,"POM",2.06,"Switchgrass","Biochar","August 2022","Agriculture",0.7071071642289
"Agronomy Farm",22,10.02,11.54,"POM",2.41,"Willow","Control","August 2022","Agriculture",0.856591143623692
