"site","plot","crop","treatment","poxc","date","land_type"
"Agronomy Farm",1,"Willow","Control",571.939828833333,"June 2021","Agriculture"
"Agronomy Farm",2,"Willow","Biochar",1514.57302333333,"June 2021","Agriculture"
"Agronomy Farm",4,"Switchgrass","Biochar",545.439794633333,"June 2021","Agriculture"
"Agronomy Farm",5,"Switchgrass","Control",426.444757983333,"June 2021","Agriculture"
"Agronomy Farm",6,"Switchgrass","Control",751.539009466667,"June 2021","Agriculture"
"Agronomy Farm",7,"Willow","Biochar",559.725542266667,"June 2021","Agriculture"
"Agronomy Farm",8,"Willow","Control",759.7842901,"June 2021","Agriculture"
"Agronomy Farm",9,"Willow","Control",918.082379666667,"June 2021","Agriculture"
"Agronomy Farm",10,"Switchgrass","Control",981.569000733333,"June 2021","Agriculture"
"Agronomy Farm",11,"Switchgrass","Biochar",961.592603966667,"June 2021","Agriculture"
"Agronomy Farm",12,"Switchgrass","Control",855.443333333333,"June 2021","Agriculture"
"Agronomy Farm",13,"Switchgrass","Control",1122.89013,"June 2021","Agriculture"
"Agronomy Farm",14,"Switchgrass","Control",564.559541366667,"June 2021","Agriculture"
"Agronomy Farm",15,"Switchgrass","Biochar",930.5491633,"June 2021","Agriculture"
"Agronomy Farm",16,"Willow","Biochar",607.044545133333,"June 2021","Agriculture"
"Agronomy Farm",17,"Willow","Control",665.846236566667,"June 2021","Agriculture"
"Agronomy Farm",18,"Willow","Control",653.508393366667,"June 2021","Agriculture"
"Agronomy Farm",19,"Switchgrass","Control",664.778374933333,"June 2021","Agriculture"
"Agronomy Farm",20,"Switchgrass","Control",451.3723147,"June 2021","Agriculture"
"Agronomy Farm",21,"Switchgrass","Biochar",898.291960433333,"June 2021","Agriculture"
"Agronomy Farm",22,"Willow","Control",906.011448883333,"June 2021","Agriculture"
"Agronomy Farm",23,"Willow","Biochar",488.3807805,"June 2021","Agriculture"
"Agronomy Farm",24,"Willow","Control",958.632461066667,"June 2021","Agriculture"
"Allstar Mine 1",1,"Willow","Control",1241.18179866667,"June 2021","Mine"
"Allstar Mine 1",2,"Willow","Control",1143.52221133333,"June 2021","Mine"
"Allstar Mine 1",3,"Willow","Biochar",950.80945536,"June 2021","Mine"
"Allstar Mine 1",4,"Switchgrass","Control",1706.58832133333,"June 2021","Mine"
"Allstar Mine 1",5,"Switchgrass","Biochar",1356.084776,"June 2021","Mine"
"Allstar Mine 1",6,"Switchgrass","Control",1278.07803866667,"June 2021","Mine"
"Allstar Mine 1",7,"Willow","Biochar",811.932682766667,"June 2021","Mine"
"Allstar Mine 1",8,"Willow","Control",1162.049349,"June 2021","Mine"
"Allstar Mine 1",9,"Willow","Control",1289.73453966667,"June 2021","Mine"
"Allstar Mine 1",10,"Switchgrass","Control",998.899349733333,"June 2021","Mine"
"Allstar Mine 1",11,"Switchgrass","Control",1337.04736833333,"June 2021","Mine"
"Allstar Mine 1",12,"Switchgrass","Biochar",1076.9449563,"June 2021","Mine"
"Allstar Mine 1",13,"Willow","Biochar",638.46185756,"June 2021","Mine"
"Allstar Mine 1",14,"Willow","Control",1326.45367633333,"June 2021","Mine"
"Allstar Mine 1",15,"Willow","Control",987.999023333333,"June 2021","Mine"
"Allstar Mine 1",16,"Switchgrass","Control",1456.17301,"June 2021","Mine"
"Allstar Mine 1",17,"Switchgrass","Biochar",641.736644133333,"June 2021","Mine"
"Allstar Mine 1",18,"Switchgrass","Control",858.895836833333,"June 2021","Mine"
"Allstar Mine 1",19,"Willow","Biochar",699.014396266667,"June 2021","Mine"
"Allstar Mine 1",20,"Willow","Control",663.7944664,"June 2021","Mine"
"Allstar Mine 1",21,"Willow","Control",683.59058825,"June 2021","Mine"
"Allstar Mine 1",22,"Switchgrass","Control",1069.150257,"June 2021","Mine"
"Allstar Mine 1",23,"Switchgrass","Biochar",1109.893776,"June 2021","Mine"
"Allstar Mine 1",24,"Switchgrass","Control",1121.03252866667,"June 2021","Mine"
"Allstar Mine 2",1,"Willow","Control",996.2418246,"June 2021","Mine"
"Allstar Mine 2",2,"Willow","Biochar",479.2128445,"June 2021","Mine"
"Allstar Mine 2",3,"Willow","Control",1549.028751,"June 2021","Mine"
"Allstar Mine 2",4,"Switchgrass","Biochar",1445.67877533333,"June 2021","Mine"
"Allstar Mine 2",5,"Switchgrass","Control",1113.30333333333,"June 2021","Mine"
"Allstar Mine 2",6,"Switchgrass","Control",1111.500901,"June 2021","Mine"
"Allstar Mine 2",7,"Willow","Control",762.209431266667,"June 2021","Mine"
"Allstar Mine 2",8,"Willow","Biochar",1150.05575333333,"June 2021","Mine"
"Allstar Mine 2",9,"Willow","Control",1646.58321,"June 2021","Mine"
"Allstar Mine 2",10,"Switchgrass","Biochar",851.831301233333,"June 2021","Mine"
"Allstar Mine 2",11,"Switchgrass","Control",733.851528333333,"June 2021","Mine"
"Allstar Mine 2",12,"Switchgrass","Control",382.74714405,"June 2021","Mine"
"Allstar Mine 2",13,"Switchgrass","Control",1282.1096634,"June 2021","Mine"
"Allstar Mine 2",14,"Switchgrass","Control",744.7159742,"June 2021","Mine"
"Allstar Mine 2",15,"Switchgrass","Biochar",883.368134966667,"June 2021","Mine"
"Allstar Mine 2",16,"Willow","Biochar",655.0502972,"June 2021","Mine"
"Allstar Mine 2",17,"Willow","Control",633.9073742,"June 2021","Mine"
"Allstar Mine 2",18,"Willow","Control",419.134757566667,"June 2021","Mine"
"Goshen Road",1,"Switchgrass","Control",415.0815238,"June 2021","Mine"
"Goshen Road",2,"Switchgrass","Biochar",473.2411219,"June 2021","Mine"
"Goshen Road",3,"Switchgrass","Control",671.958413766667,"June 2021","Mine"
"Goshen Road",4,"Willow","Control",904.5340893,"June 2021","Mine"
"Goshen Road",5,"Willow","Biochar",451.7379342,"June 2021","Mine"
"Goshen Road",6,"Willow","Control",1072.510226,"June 2021","Mine"
"Goshen Road",7,"Willow","Biochar",647.305931233333,"June 2021","Mine"
"Goshen Road",8,"Willow","Control",1132.07079966667,"June 2021","Mine"
"Goshen Road",9,"Willow","Control",1034.25,"June 2021","Mine"
"Goshen Road",10,"Switchgrass","Control",615.920047966667,"June 2021","Mine"
"Goshen Road",11,"Switchgrass","Biochar",876.588207633333,"June 2021","Mine"
"Goshen Road",12,"Switchgrass","Control",905.847531966667,"June 2021","Mine"
"Goshen Road",14,"Switchgrass","Biochar",1175.807028,"June 2021","Mine"
"Goshen Road",15,"Switchgrass","Control",579.841006466667,"June 2021","Mine"
"Goshen Road",16,"Willow","Control",835.241456133333,"June 2021","Mine"
"Goshen Road",17,"Willow","Biochar",1213.674716,"June 2021","Mine"
"Goshen Road",18,"Willow","Control",762.695636366667,"June 2021","Mine"
"Goshen Road",19,"Switchgrass","Control",1248.82723566667,"June 2021","Mine"
"Goshen Road",20,"Switchgrass","Control",763.045616333333,"June 2021","Mine"
"Goshen Road",21,"Switchgrass","Biochar",1388.67520333333,"June 2021","Mine"
"Goshen Road",22,"Willow","Biochar",801.055536433333,"June 2021","Mine"
"Goshen Road",23,"Willow","Control",88.43932174,"June 2021","Mine"
"Goshen Road",24,"Willow","Control",419.1158436,"June 2021","Mine"
"Jackson Mill",1,"Willow","Biochar",810.526142533333,"June 2021","Agriculture"
"Jackson Mill",2,"Willow","Control",1055.74603966667,"June 2021","Agriculture"
"Jackson Mill",3,"Willow","Control",1407.116155,"June 2021","Agriculture"
"Jackson Mill",4,"Switchgrass","Control",1181.883333,"June 2021","Agriculture"
"Jackson Mill",5,"Switchgrass","Biochar",895.933691333333,"June 2021","Agriculture"
"Jackson Mill",6,"Switchgrass","Control",1145.29509633333,"June 2021","Agriculture"
"Jackson Mill",7,"Switchgrass","Biochar",1252.84984666667,"June 2021","Agriculture"
"Jackson Mill",8,"Switchgrass","Control",588.941790466667,"June 2021","Agriculture"
"Jackson Mill",9,"Switchgrass","Control",579.897849366667,"June 2021","Agriculture"
"Jackson Mill",10,"Willow","Control",1028.00828243333,"June 2021","Agriculture"
"Jackson Mill",11,"Willow","Control",1090.39394166667,"June 2021","Agriculture"
"Jackson Mill",12,"Willow","Biochar",834.2745216,"June 2021","Agriculture"
"Jackson Mill",13,"Switchgrass","Biochar",1345.66372866667,"June 2021","Agriculture"
"Jackson Mill",14,"Switchgrass","Control",1174.54874555,"June 2021","Agriculture"
"Jackson Mill",15,"Switchgrass","Control",907.018369833333,"June 2021","Agriculture"
"Jackson Mill",16,"Willow","Biochar",1275.54947633333,"June 2021","Agriculture"
"Jackson Mill",17,"Willow","Control",1105.85666666667,"June 2021","Agriculture"
"Jackson Mill",19,"Willow","Control",1241.809983,"June 2021","Agriculture"
"Jackson Mill",20,"Willow","Biochar",1189.38491933333,"June 2021","Agriculture"
"Jackson Mill",21,"Willow","Control",1136.41325633333,"June 2021","Agriculture"
"Jackson Mill",22,"Switchgrass","Control",1391.67825866667,"June 2021","Agriculture"
"Jackson Mill",23,"Switchgrass","Control",919.530260966667,"June 2021","Agriculture"
"Jackson Mill",24,"Switchgrass","Biochar",1408.616554,"June 2021","Agriculture"
"Reedsville",1,"Switchgrass","Control",951.964,"June 2021","Agriculture"
"Reedsville",2,"Switchgrass","Control",585.95378485,"June 2021","Agriculture"
"Reedsville",3,"Switchgrass","Biochar",832.2936052,"June 2021","Agriculture"
"Reedsville",4,"Willow","Control",899.1229374,"June 2021","Agriculture"
"Reedsville",5,"Willow","Biochar",1303.96178133333,"June 2021","Agriculture"
"Reedsville",6,"Willow","Control",825.605137033333,"June 2021","Agriculture"
"Reedsville",7,"Switchgrass","Biochar",679.264260033333,"June 2021","Agriculture"
"Reedsville",8,"Switchgrass","Control",777.2011549,"June 2021","Agriculture"
"Reedsville",9,"Switchgrass","Control",965.664961566667,"June 2021","Agriculture"
"Reedsville",10,"Willow","Biochar",1319.24952966667,"June 2021","Agriculture"
"Reedsville",11,"Willow","Control",1267.60183866667,"June 2021","Agriculture"
"Reedsville",12,"Willow","Control",865.343547966667,"June 2021","Agriculture"
"Reedsville",13,"Willow","Control",1315.7020305,"June 2021","Agriculture"
"Reedsville",14,"Willow","Biochar",753.061215966667,"June 2021","Agriculture"
"Reedsville",15,"Willow","Control",849.956666666667,"June 2021","Agriculture"
"Reedsville",16,"Switchgrass","Control",1136.85183466667,"June 2021","Agriculture"
"Reedsville",17,"Switchgrass","Control",839.466612533333,"June 2021","Agriculture"
"Reedsville",18,"Switchgrass","Biochar",1159.65666666667,"June 2021","Agriculture"
"Reedsville",19,"Willow","Control",1037.56190833333,"June 2021","Agriculture"
"Reedsville",20,"Willow","Control",883.9317418,"June 2021","Agriculture"
"Reedsville",21,"Willow","Biochar",1210.524038,"June 2021","Agriculture"
"Reedsville",22,"Switchgrass","Biochar",1016.3497628,"June 2021","Agriculture"
"Reedsville",23,"Switchgrass","Control",808.13405075,"June 2021","Agriculture"
"Agronomy Farm",1,"Willow","Control",610.9928,"May 2022","Agriculture"
"Agronomy Farm",2,"Willow","Biochar",1152.67666666667,"May 2022","Agriculture"
"Agronomy Farm",3,"Willow","Control",925.5584,"May 2022","Agriculture"
"Agronomy Farm",4,"Switchgrass","Biochar",1026.8936,"May 2022","Agriculture"
"Agronomy Farm",5,"Switchgrass","Control",982.8824,"May 2022","Agriculture"
"Agronomy Farm",6,"Switchgrass","Control",1222.71366666667,"May 2022","Agriculture"
"Agronomy Farm",7,"Willow","Biochar",1052.91273333333,"May 2022","Agriculture"
"Agronomy Farm",8,"Willow","Control",1052.35666666667,"May 2022","Agriculture"
"Agronomy Farm",9,"Willow","Control",1038.8441,"May 2022","Agriculture"
"Agronomy Farm",10,"Switchgrass","Control",1115.73266666667,"May 2022","Agriculture"
"Agronomy Farm",11,"Switchgrass","Biochar",1052.9641,"May 2022","Agriculture"
"Agronomy Farm",12,"Switchgrass","Control",853.1164,"May 2022","Agriculture"
"Agronomy Farm",13,"Switchgrass","Control",999.6685,"May 2022","Agriculture"
"Agronomy Farm",14,"Switchgrass","Control",1177.84833333333,"May 2022","Agriculture"
"Agronomy Farm",15,"Switchgrass","Biochar",1138.8115,"May 2022","Agriculture"
"Agronomy Farm",16,"Willow","Biochar",800.7059,"May 2022","Agriculture"
"Agronomy Farm",17,"Willow","Control",1000.3412,"May 2022","Agriculture"
"Agronomy Farm",18,"Willow","Control",838.8939,"May 2022","Agriculture"
"Agronomy Farm",19,"Switchgrass","Control",848.241466666667,"May 2022","Agriculture"
"Agronomy Farm",21,"Switchgrass","Biochar",1211.39333333333,"May 2022","Agriculture"
"Agronomy Farm",22,"Willow","Control",1248.91483333333,"May 2022","Agriculture"
"Agronomy Farm",23,"Willow","Biochar",971.419033333333,"May 2022","Agriculture"
"Agronomy Farm",24,"Willow","Control",796.469333333333,"May 2022","Agriculture"
"Allstar Mine 1",1,"Willow","Control",739.073366666667,"May 2022","Mine"
"Allstar Mine 1",2,"Willow","Control",816.944,"May 2022","Mine"
"Allstar Mine 1",3,"Willow","Biochar",937.661166666667,"May 2022","Mine"
"Allstar Mine 1",4,"Switchgrass","Control",1295.41833333333,"May 2022","Mine"
"Allstar Mine 1",5,"Switchgrass","Biochar",980.217333333333,"May 2022","Mine"
"Allstar Mine 1",6,"Switchgrass","Control",849.9545,"May 2022","Mine"
"Allstar Mine 1",7,"Willow","Biochar",1167.46866666667,"May 2022","Mine"
"Allstar Mine 1",8,"Willow","Control",1158.45033333333,"May 2022","Mine"
"Allstar Mine 1",9,"Willow","Control",1027.9384,"May 2022","Mine"
"Allstar Mine 1",10,"Switchgrass","Control",828.601066666667,"May 2022","Mine"
"Allstar Mine 1",11,"Switchgrass","Control",967.745266666667,"May 2022","Mine"
"Allstar Mine 1",12,"Switchgrass","Biochar",638.419166666667,"May 2022","Mine"
"Allstar Mine 1",13,"Willow","Biochar",1008.2345,"May 2022","Mine"
"Allstar Mine 1",14,"Willow","Control",561.567633333333,"May 2022","Mine"
"Allstar Mine 1",15,"Willow","Control",770.124633333333,"May 2022","Mine"
"Allstar Mine 1",16,"Switchgrass","Control",694.7581,"May 2022","Mine"
"Allstar Mine 1",17,"Switchgrass","Biochar",657.0613,"May 2022","Mine"
"Allstar Mine 1",18,"Switchgrass","Control",749.803633333333,"May 2022","Mine"
"Allstar Mine 1",19,"Willow","Biochar",1136.03966666667,"May 2022","Mine"
"Allstar Mine 1",20,"Willow","Control",618.3974,"May 2022","Mine"
"Allstar Mine 1",21,"Willow","Control",625.2653,"May 2022","Mine"
"Allstar Mine 1",22,"Switchgrass","Control",503.2315,"May 2022","Mine"
"Allstar Mine 1",23,"Switchgrass","Biochar",883.341766666667,"May 2022","Mine"
"Allstar Mine 1",24,"Switchgrass","Control",749.173533333333,"May 2022","Mine"
"Allstar Mine 2",1,"Willow","Control",481.3407,"May 2022","Mine"
"Allstar Mine 2",2,"Willow","Biochar",1140.54666666667,"May 2022","Mine"
"Allstar Mine 2",3,"Willow","Control",898.258266666667,"May 2022","Mine"
"Allstar Mine 2",4,"Switchgrass","Biochar",267.827366666667,"May 2022","Mine"
"Allstar Mine 2",5,"Switchgrass","Control",466.9704,"May 2022","Mine"
"Allstar Mine 2",7,"Willow","Control",1013.8207,"May 2022","Mine"
"Allstar Mine 2",8,"Willow","Biochar",777.374933333333,"May 2022","Mine"
"Allstar Mine 2",9,"Willow","Control",1256.39633333333,"May 2022","Mine"
"Allstar Mine 2",10,"Switchgrass","Biochar",1248.87633333333,"May 2022","Mine"
"Allstar Mine 2",11,"Switchgrass","Control",872.901966666667,"May 2022","Mine"
"Allstar Mine 2",12,"Switchgrass","Control",516.043533333333,"May 2022","Mine"
"Allstar Mine 2",13,"Switchgrass","Control",547.080733333333,"May 2022","Mine"
"Allstar Mine 2",14,"Switchgrass","Control",921.549733333333,"May 2022","Mine"
"Allstar Mine 2",15,"Switchgrass","Biochar",617.368033333333,"May 2022","Mine"
"Allstar Mine 2",16,"Willow","Biochar",802.088145,"May 2022","Mine"
"Allstar Mine 2",17,"Willow","Control",618.096766666667,"May 2022","Mine"
"Allstar Mine 2",18,"Willow","Control",693.759033333333,"May 2022","Mine"
"Goshen Road",1,"Switchgrass","Control",822.499666666667,"May 2022","Mine"
"Goshen Road",2,"Switchgrass","Biochar",960.619633333333,"May 2022","Mine"
"Goshen Road",3,"Switchgrass","Control",1002.41013333333,"May 2022","Mine"
"Goshen Road",4,"Willow","Control",912.342833333333,"May 2022","Mine"
"Goshen Road",5,"Willow","Biochar",849.9364,"May 2022","Mine"
"Goshen Road",6,"Willow","Control",1177.50866666667,"May 2022","Mine"
"Goshen Road",7,"Willow","Biochar",740.7498,"May 2022","Mine"
"Goshen Road",8,"Willow","Control",1210.69733333333,"May 2022","Mine"
"Goshen Road",9,"Willow","Control",873.372166666667,"May 2022","Mine"
"Goshen Road",10,"Switchgrass","Control",954.338466666667,"May 2022","Mine"
"Goshen Road",11,"Switchgrass","Biochar",470.6289,"May 2022","Mine"
"Goshen Road",12,"Switchgrass","Control",936.142266666667,"May 2022","Mine"
"Goshen Road",13,"Switchgrass","Control",1246.979,"May 2022","Mine"
"Goshen Road",14,"Switchgrass","Biochar",916.0337,"May 2022","Mine"
"Goshen Road",15,"Switchgrass","Control",1085.54466666667,"May 2022","Mine"
"Goshen Road",16,"Willow","Control",697.664533333333,"May 2022","Mine"
"Goshen Road",17,"Willow","Biochar",700.233966666667,"May 2022","Mine"
"Goshen Road",18,"Willow","Control",875.4481,"May 2022","Mine"
"Goshen Road",19,"Switchgrass","Control",678.0474,"May 2022","Mine"
"Goshen Road",20,"Switchgrass","Control",971.9492,"May 2022","Mine"
"Goshen Road",21,"Switchgrass","Biochar",786.959966666667,"May 2022","Mine"
"Goshen Road",22,"Willow","Biochar",1201.90333333333,"May 2022","Mine"
"Goshen Road",23,"Willow","Control",679.494033333333,"May 2022","Mine"
"Goshen Road",24,"Willow","Control",669.870833333333,"May 2022","Mine"
"Jackson Mill",1,"Willow","Biochar",500.4451,"May 2022","Agriculture"
"Jackson Mill",3,"Willow","Control",696.036166666667,"May 2022","Agriculture"
"Jackson Mill",4,"Switchgrass","Control",1056.94733333333,"May 2022","Agriculture"
"Jackson Mill",5,"Switchgrass","Biochar",904.6651,"May 2022","Agriculture"
"Jackson Mill",6,"Switchgrass","Control",894.324566666667,"May 2022","Agriculture"
"Jackson Mill",7,"Switchgrass","Biochar",873.810733333333,"May 2022","Agriculture"
"Jackson Mill",8,"Switchgrass","Control",1416.25966666667,"May 2022","Agriculture"
"Jackson Mill",9,"Switchgrass","Control",413.093033333333,"May 2022","Agriculture"
"Jackson Mill",10,"Willow","Control",721.975033333333,"May 2022","Agriculture"
"Jackson Mill",11,"Willow","Control",591.4428,"May 2022","Agriculture"
"Jackson Mill",12,"Willow","Biochar",739.3537,"May 2022","Agriculture"
"Jackson Mill",13,"Switchgrass","Biochar",847.452666666667,"May 2022","Agriculture"
"Jackson Mill",14,"Switchgrass","Control",1020.71066666667,"May 2022","Agriculture"
"Jackson Mill",15,"Switchgrass","Control",575.172,"May 2022","Agriculture"
"Jackson Mill",16,"Willow","Biochar",1076.66966666667,"May 2022","Agriculture"
"Jackson Mill",17,"Willow","Control",744.9054,"May 2022","Agriculture"
"Jackson Mill",18,"Willow","Control",937.43545,"May 2022","Agriculture"
"Jackson Mill",19,"Willow","Control",812.445166666667,"May 2022","Agriculture"
"Jackson Mill",20,"Willow","Biochar",688.945033333333,"May 2022","Agriculture"
"Jackson Mill",21,"Willow","Control",785.7939,"May 2022","Agriculture"
"Jackson Mill",22,"Switchgrass","Control",932.507366666667,"May 2022","Agriculture"
"Jackson Mill",23,"Switchgrass","Control",405.740633333333,"May 2022","Agriculture"
"Jackson Mill",24,"Switchgrass","Biochar",805.005654,"May 2022","Agriculture"
"Reedsville",1,"Switchgrass","Control",754.576866666667,"May 2022","Agriculture"
"Reedsville",2,"Switchgrass","Control",738.813033333333,"May 2022","Agriculture"
"Reedsville",3,"Switchgrass","Biochar",906.999066666667,"May 2022","Agriculture"
"Reedsville",4,"Willow","Control",878.420633333333,"May 2022","Agriculture"
"Reedsville",5,"Willow","Biochar",686.135533333333,"May 2022","Agriculture"
"Reedsville",6,"Willow","Control",675.480333333333,"May 2022","Agriculture"
"Reedsville",7,"Switchgrass","Biochar",777.243933333333,"May 2022","Agriculture"
"Reedsville",8,"Switchgrass","Control",1039.32066666667,"May 2022","Agriculture"
"Reedsville",9,"Switchgrass","Control",909.313333333333,"May 2022","Agriculture"
"Reedsville",10,"Willow","Biochar",786.31105,"May 2022","Agriculture"
"Reedsville",11,"Willow","Control",1010.2571,"May 2022","Agriculture"
"Reedsville",12,"Willow","Control",565.738433333333,"May 2022","Agriculture"
"Reedsville",13,"Willow","Control",830.522055333333,"May 2022","Agriculture"
"Reedsville",14,"Willow","Biochar",777.539766666667,"May 2022","Agriculture"
"Reedsville",15,"Willow","Control",802.986,"May 2022","Agriculture"
"Reedsville",16,"Switchgrass","Control",846.644366666667,"May 2022","Agriculture"
"Reedsville",17,"Switchgrass","Control",339.512833333333,"May 2022","Agriculture"
"Reedsville",18,"Switchgrass","Biochar",566.495433333333,"May 2022","Agriculture"
"Reedsville",19,"Willow","Control",362.4669,"May 2022","Agriculture"
"Reedsville",20,"Willow","Control",887.788633333333,"May 2022","Agriculture"
"Reedsville",21,"Willow","Biochar",431.9736,"May 2022","Agriculture"
"Reedsville",22,"Switchgrass","Biochar",376.1502,"May 2022","Agriculture"
"Reedsville",23,"Switchgrass","Control",501.3073,"May 2022","Agriculture"
"Reedsville",24,"Switchgrass","Control",981.9642,"May 2022","Agriculture"
"Agronomy Farm",1,"Willow","Control",871.611193533333,"August 2022","Agriculture"
"Agronomy Farm",10,"Switchgrass","Control",692.375816966667,"August 2022","Agriculture"
