"site","plot","crop","treatment","resp","date","land_type","resp_bc"
"Agronomy Farm",10,"Switchgrass","Control",0.389916005208584,"June 2021","Agriculture",-0.932920568635473
"Agronomy Farm",11,"Switchgrass","Biochar",0.499467001801263,"June 2021","Agriculture",-0.689368415806841
"Agronomy Farm",12,"Switchgrass","Control",0.500827582916983,"June 2021","Agriculture",-0.686685865058084
"Agronomy Farm",13,"Switchgrass","Control",0.292425465654163,"June 2021","Agriculture",-1.2144005924817
"Agronomy Farm",14,"Switchgrass","Control",0.299586332530778,"June 2021","Agriculture",-1.19079553961758
"Agronomy Farm",15,"Switchgrass","Biochar",0.385586092381122,"June 2021","Agriculture",-0.943875722659716
"Agronomy Farm",16,"Willow","Biochar",0.300996306425944,"June 2021","Agriculture",-1.18621291402357
"Agronomy Farm",17,"Willow","Control",0.182861373964867,"June 2021","Agriculture",-1.67019918915697
"Agronomy Farm",18,"Willow","Control",0.261136176086984,"June 2021","Agriculture",-1.32466591172652
"Agronomy Farm",19,"Switchgrass","Control",0.200243348150817,"June 2021","Agriculture",-1.58237752891523
"Agronomy Farm",2,"Willow","Biochar",1.64315996224534,"June 2021","Agriculture",0.499120784927075
"Agronomy Farm",20,"Switchgrass","Control",0.273801026108513,"June 2021","Agriculture",-1.27855160122602
"Agronomy Farm",21,"Switchgrass","Biochar",0.26425421998056,"June 2021","Agriculture",-1.31311259189566
"Agronomy Farm",22,"Willow","Control",0.228869083162559,"June 2021","Agriculture",-1.45285737312608
"Agronomy Farm",23,"Willow","Biochar",0.228516135235714,"June 2021","Agriculture",-1.45435538131681
"Agronomy Farm",24,"Willow","Control",0.27476129778144,"June 2021","Agriculture",-1.27514085826684
"Agronomy Farm",3,"Willow","Control",0.821598560610132,"June 2021","Agriculture",-0.19611385179544
"Agronomy Farm",4,"Switchgrass","Biochar",0.33560658952159,"June 2021","Agriculture",-1.0798626878565
"Agronomy Farm",5,"Switchgrass","Control",0.287239805698892,"June 2021","Agriculture",-1.2318508674455
"Agronomy Farm",6,"Switchgrass","Control",0.543152297155011,"June 2021","Agriculture",-0.606617852654401
"Agronomy Farm",7,"Willow","Biochar",0.311329738181301,"June 2021","Agriculture",-1.15325596217251
"Agronomy Farm",8,"Willow","Control",0.315597731527585,"June 2021","Agriculture",-1.13995555602223
"Agronomy Farm",9,"Willow","Control",0.471043369089481,"June 2021","Agriculture",-0.747109620363594
"Allstar Mine 1",1,"Willow","Control",0.470613283964112,"June 2021","Mine",-0.74800928993431
"Allstar Mine 1",10,"Switchgrass","Control",0.301190698253913,"June 2021","Mine",-1.18558276197901
"Allstar Mine 1",11,"Switchgrass","Control",0.462398190341301,"June 2021","Mine",-0.765350390465821
"Allstar Mine 1",12,"Switchgrass","Biochar",0.34910003268415,"June 2021","Mine",-1.04128837178729
"Allstar Mine 1",13,"Willow","Biochar",0.194518411352637,"June 2021","Mine",-1.61044859378091
"Allstar Mine 1",14,"Willow","Control",0.279602717962674,"June 2021","Mine",-1.25812079472752
"Allstar Mine 1",15,"Willow","Control",0.244332969183814,"June 2021","Mine",-1.38935266822037
"Allstar Mine 1",16,"Switchgrass","Control",0.422997952457599,"June 2021","Mine",-0.852953627578996
"Allstar Mine 1",17,"Switchgrass","Biochar",0.259377382206946,"June 2021","Mine",-1.33124255731289
"Allstar Mine 1",18,"Switchgrass","Control",0.360658074306801,"June 2021","Mine",-1.0093912247371
"Allstar Mine 1",19,"Willow","Biochar",0.351416468681509,"June 2021","Mine",-1.03481352955177
"Allstar Mine 1",20,"Willow","Control",0.331256907554518,"June 2021","Mine",-1.09262179559343
"Allstar Mine 1",21,"Willow","Control",0.368420390714946,"June 2021","Mine",-0.988526659862257
"Allstar Mine 1",22,"Switchgrass","Control",0.321625815182689,"June 2021","Mine",-1.1214673444833
"Allstar Mine 1",23,"Switchgrass","Biochar",0.450320749551906,"June 2021","Mine",-0.791400511837104
"Allstar Mine 1",24,"Switchgrass","Control",0.418276576819719,"June 2021","Mine",-0.863983421779173
"Allstar Mine 1",3,"Willow","Biochar",0.422052944798395,"June 2021","Mine",-0.855151609442922
"Allstar Mine 1",4,"Switchgrass","Control",0.488460842753182,"June 2021","Mine",-0.711335378190225
"Allstar Mine 1",5,"Switchgrass","Biochar",0.668666327883036,"June 2021","Mine",-0.40083834753196
"Allstar Mine 1",6,"Switchgrass","Control",0.302096841367173,"June 2021","Mine",-1.182650603189
"Allstar Mine 1",7,"Willow","Biochar",0.251331559909767,"June 2021","Mine",-1.36189639987476
"Allstar Mine 1",8,"Willow","Control",0.285940762933376,"June 2021","Mine",-1.23627062342077
"Allstar Mine 1",9,"Willow","Control",0.254041873746087,"June 2021","Mine",-1.35146428968189
"Allstar Mine 2",1,"Willow","Control",0.332408983239675,"June 2021","Mine",-1.08922645349609
"Allstar Mine 2",10,"Switchgrass","Biochar",0.49547666246355,"June 2021","Mine",-0.697277345300703
"Allstar Mine 2",11,"Switchgrass","Control",0.296779763340236,"June 2021","Mine",-1.19998054483566
