Sample Name,site,plot,fraction,percent_n,percent_c,Notes,
ReadsvilleMAOM-001,reedsville,1,MAOM,0.2542,3.012,,
ReadsvilleMAOM-002,reedsville,2,MAOM,0.2259,2.4791,,
ReadsvilleMAOM-003,reedsville,3,MAOM,0.2556,2.8022,,
ReadsvilleMAOM-004,reedsville,4,MAOM,0.2574,2.7452,,
ReadsvilleMAOM-005,reedsville,5,MAOM,0.2311,2.3411,,
ReadsvilleMAOM-006,reedsville,6,MAOM,0.2287,2.3553,,
ReadsvilleMAOM-007,reedsville,7,MAOM,0.2165,2.3457,,
ReadsvilleMAOM-008,reedsville,8,MAOM,0.2172,2.1931,,
ReadsvilleMAOM-009,reedsville,9,MAOM,0.2341,2.4087,,
ReadsvilleMAOM-010,reedsville,10,MAOM,0.1777,2.2016,,
ReadsvilleMAOM-011,reedsville,11,MAOM,0.1375,1.5013,,
ReadsvilleMAOM-012,reedsville,12,MAOM,0.2278,2.4163,,
ReadsvilleMAOM-013,reedsville,13,MAOM,0.1902,2.0826,,
ReadsvilleMAOM-014,reedsville,14,MAOM,0.215,2.6701,,
ReadsvilleMAOM-015,reedsville,15,MAOM,0.2138,2.3957,,
ReadsvilleMAOM-016,reedsville,16,MAOM,0.2952,3.2392,,
ReadsvilleMAOM-017,reedsville,17,MAOM,0.2393,2.6494,,
ReadsvilleMAOM-019,reedsville,19,MAOM,0.1618,1.7351,,
ReadsvilleMAOM-020,reedsville,20,MAOM,0.1734,1.9631,,
ReadsvilleMAOM-021,reedsville,21,MAOM,0.1435,1.3777,,
ReadsvilleMAOM-022,reedsville,22,MAOM,0.259,2.9476,,
ReadsvilleMAOM-023,reedsville,23,MAOM,0.2074,2.2933,,
ReadsvilleMAOM-024,reedsville,24,MAOM,0.2073,2.1861,,
ReadsvillePOM-001,reedsville,1,POM,0.1977,3.2467,,
ReadsvillePOM-002,reedsville,2,POM,0.1853,2.9977,,
