site,plot,fraction,percent_n,percent_c,subsample_weight,POM + MAOM,fraction_weight_g,crop,treatment
agronomy_farm,1,MAOM,0.1535,1.5337,NA,10.85,9.11,W,C
agronomy_farm,1,POM,0.2585,3.616,NA,10.85,1.74,W,C
agronomy_farm,10,MAOM,0.1861,1.71,NA,11.14,9.08,S,C
agronomy_farm,10,POM,0.2853,4.1411,NA,11.14,2.06,S,C
agronomy_farm,11,MAOM,0.174,1.9651,9.99,10.89,8.71,S,B
agronomy_farm,11,POM,0.3606,7.4617,9.99,10.89,2.18,S,B
agronomy_farm,12,MAOM,0.324,2.7635,10,10.23,7.26,S,C
agronomy_farm,12,POM,0.7367,9.9882,10,10.23,2.97,S,C
agronomy_farm,13,MAOM,0.1537,1.4583,9.98,10.84,8.87,S,C
agronomy_farm,13,POM,0.3007,4.3947,9.98,10.84,1.97,S,C
agronomy_farm,14,MAOM,0.1543,1.4161,10,10.02,8.26,S,C
agronomy_farm,14,POM,0.2602,3.5989,10,10.02,1.76,S,C
agronomy_farm,15,MAOM,0.2636,2.6889,NA,11.95,8.08,S,B
agronomy_farm,15,POM,0.6101,10.0831,NA,11.95,3.87,S,B
agronomy_farm,16,MAOM,0.159,1.6321,10.01,9.39,7.26,W,B
agronomy_farm,16,POM,0.1971,4.2317,10.01,9.39,2.13,W,B
agronomy_farm,17,MAOM,0.1591,1.5259,10,10,7.95,W,C
agronomy_farm,17,POM,0.1987,2.9082,10,10,2.05,W,C
agronomy_farm,18,MAOM,0.2029,1.7892,9.99,10.11,7.86,W,C
agronomy_farm,18,POM,0.3268,4.4008,9.99,10.11,2.25,W,C
agronomy_farm,19,MAOM,0.1674,1.533,10.01,10.56,7.85,S,C
agronomy_farm,19,POM,0.1965,2.7972,10.01,10.56,2.71,S,C
agronomy_farm,2,MAOM,0.2175,2.5395,NA,10.93,8.8,W,B
agronomy_farm,2,POM,0.4742,9.2694,NA,10.93,2.13,W,B
agronomy_farm,20,MAOM,0.1898,1.7126,10.01,10,7.5,S,C
agronomy_farm,20,POM,0.25,3.5317,10.01,10,2.5,S,C
agronomy_farm,21,MAOM,0.2055,2.2712,10.02,9.48,6.63,S,B
agronomy_farm,21,POM,0.2733,6.3238,10.02,9.48,2.85,S,B
agronomy_farm,22,MAOM,0.1739,1.6372,10.01,10.09,8.01,W,C
agronomy_farm,22,POM,0.228,3.4242,10.01,10.09,2.08,W,C
agronomy_farm,23,MAOM,0.1636,1.9286,10,9.76,7.58,W,B
agronomy_farm,23,POM,0.2229,6.6537,10,9.76,2.18,W,B
agronomy_farm,24,MAOM,0.2177,1.9481,9.99,10.23,7.83,W,C
agronomy_farm,3,MAOM,0.3106,3.161,9.98,10.62,7.87,W,C
agronomy_farm,3,POM,0.6017,8.3509,9.98,10.62,2.75,W,C
agronomy_farm,4,MAOM,0.1147,1.5752,NA,10.23,8.41,S,B
agronomy_farm,4,POM,0.2331,6.8884,NA,10.23,1.82,S,B
agronomy_farm,5,MAOM,0.1594,1.7204,10.05,9.91,8.25,S,C
agronomy_farm,5,POM,0.2331,3.6404,10.05,9.91,1.66,S,C
agronomy_farm,6,MAOM,0.2408,2.3214,9.99,10.71,7.87,S,C
agronomy_farm,6,POM,0.5302,7.1935,9.99,10.71,2.84,S,C
agronomy_farm,7,MAOM,0.1334,1.6197,9.98,9.46,7.55,W,B
agronomy_farm,7,POM,0.2339,6.6248,9.98,9.46,1.91,W,B
agronomy_farm,8,MAOM,0.1839,1.6281,10,9.95,8.2,W,C
agronomy_farm,8,POM,0.3656,4.8559,10,9.95,1.75,W,C
agronomy_farm,9,MAOM,0.2932,2.8067,10.01,10.52,7.79,W,C
agronomy_farm,9,POM,0.5035,6.8682,10.01,10.52,2.73,W,C
allstar_mine_1,1,MAOM,0.3292,3.0429,9.98,9.97,6.34,W,C
allstar_mine_1,1,POM,0.6173,9.9602,9.98,9.97,3.63,W,C
allstar_mine_1,10,MAOM,0.2966,2.8389,9.99,6.82,6.82,S,C
allstar_mine_1,10,POM,0.4746,7.0124,9.99,6.82,NA,S,C
allstar_mine_1,11,MAOM,0.3669,3.3823,9.98,10.64,7.23,S,C
allstar_mine_1,11,POM,0.4961,6.548,9.98,10.64,3.41,S,C
allstar_mine_1,12,MAOM,0.3097,3.5143,10.02,10.22,6.67,S,B
allstar_mine_1,12,POM,0.4863,12.9318,10.02,10.22,3.55,S,B
allstar_mine_1,13,MAOM,0.146,1.4668,10.03,9.59,6.33,W,B
allstar_mine_1,13,POM,0.2121,4.8683,10.03,9.59,3.26,W,B
allstar_mine_1,14,MAOM,0.1789,1.792,NA,11.17,7.85,W,C
allstar_mine_1,14,POM,0.3027,5.9681,NA,11.17,3.32,W,C
allstar_mine_1,15,MAOM,0.1788,1.9529,9.98,10.49,7.48,W,C
allstar_mine_1,15,POM,0.2811,5.754,9.98,10.49,3.01,W,C
allstar_mine_1,16,MAOM,0.2245,2.2733,9.99,10.6,7.43,S,C
allstar_mine_1,16,POM,0.3005,5.4014,9.99,10.6,3.17,S,C
allstar_mine_1,17,MAOM,0.1664,2.028,10.02,9.81,6.75,S,B
allstar_mine_1,17,POM,0.2188,4.7685,10.02,9.81,3.06,S,B
allstar_mine_1,18,MAOM,0.274,3.3155,9.98,10.37,7.55,S,C
allstar_mine_1,18,POM,0.4606,10.8257,9.98,10.37,2.82,S,C
allstar_mine_1,19,MAOM,0.2567,2.9375,9.98,10.53,7.03,W,B
allstar_mine_1,19,POM,0.3151,7.5099,9.98,10.53,3.5,W,B
allstar_mine_1,2,MAOM,0.2214,2.0731,9.99,9.96,7.2,W,C
allstar_mine_1,2,POM,0.3581,5.5344,9.99,9.96,2.76,W,C
allstar_mine_1,20,MAOM,0.1794,1.9469,10.05,10.25,6.79,W,C
allstar_mine_1,20,POM,0.2646,6.7208,10.05,10.25,3.46,W,C
allstar_mine_1,21,MAOM,0.2679,2.6315,10.02,10,6.74,W,C
allstar_mine_1,21,POM,0.3397,4.8775,10.02,10,3.26,W,C
allstar_mine_1,22,MAOM,0.2786,2.883,NA,10.83,7.03,S,C
allstar_mine_1,22,POM,0.4004,5.8682,NA,10.83,3.8,S,C
allstar_mine_1,23,MAOM,0.2982,3.2861,10.02,7.38,7.38,S,B
allstar_mine_1,23,POM,0.4075,9.2955,10.02,7.38,NA,S,B
allstar_mine_1,24,MAOM,0.3462,3.3964,9.99,10.94,6.71,S,C
allstar_mine_1,24,POM,0.488,6.8382,9.99,10.94,4.23,S,C
allstar_mine_1,3,MAOM,0.3522,4.171,10.02,9.91,6.83,W,B
allstar_mine_1,3,POM,0.6227,13.6048,10.02,9.91,3.08,W,B
allstar_mine_1,4,MAOM,0.2892,3.0433,9.99,10.1,6.43,S,C
allstar_mine_1,4,POM,0.5026,8.2436,9.99,10.1,3.67,S,C
allstar_mine_1,5,MAOM,0.3911,4.5293,9.99,10.27,6.84,S,B
allstar_mine_1,5,POM,0.4948,10.892,9.99,10.27,3.43,S,B
allstar_mine_1,6,MAOM,0.3126,3.0241,10,9.8,6.57,S,C
allstar_mine_1,6,POM,0.5836,9.5623,10,9.8,3.23,S,C
allstar_mine_1,7,MAOM,0.1299,1.405,9.98,10.73,7.15,W,B
allstar_mine_1,7,POM,0.2131,4.1024,9.98,10.73,3.58,W,B
allstar_mine_1,8,MAOM,0.2602,2.4653,9.98,10.05,6.76,W,C
allstar_mine_1,8,POM,0.4553,7.2478,9.98,10.05,3.29,W,C
allstar_mine_1,9,MAOM,0.2965,2.834,9.98,10.4,6.9,W,C
allstar_mine_1,9,POM,0.5034,8.5779,9.98,10.4,3.5,W,C
allstar_mine_2,1,MAOM,0.2381,2.4539,10.02,7.54,7.54,W,C
allstar_mine_2,1,POM,0.4912,7.2676,10.02,7.54,NA,W,C
allstar_mine_2,10,MAOM,0.333,3.2909,10,10.25,7.43,S,B
allstar_mine_2,10,POM,0.4263,7.759,10,10.25,2.82,S,B
allstar_mine_2,11,MAOM,0.1907,1.9175,10.03,10.29,7.72,S,C
allstar_mine_2,11,POM,0.2219,3.9808,10.03,10.29,2.57,S,C
allstar_mine_2,12,MAOM,0.1544,1.5379,9.98,10.48,7.82,S,C
allstar_mine_2,12,POM,0.1641,3.5956,9.98,10.48,2.66,S,C
allstar_mine_2,13,MAOM,0.3081,3.162,10.02,10.36,6.8,S,C
allstar_mine_2,13,POM,0.4252,7.9594,10.02,10.36,3.56,S,C
allstar_mine_2,14,MAOM,0.2481,2.4877,10.01,10.59,7.29,S,C
allstar_mine_2,14,POM,0.287,5.968,10.01,10.59,3.3,S,C
allstar_mine_2,15,MAOM,0.2437,3.1013,10.01,9.77,5.82,S,B
allstar_mine_2,15,POM,0.3828,11.989,10.01,9.77,3.95,S,B
allstar_mine_2,16,MAOM,0.2048,2.5743,NA,10.71,7.51,W,B
allstar_mine_2,16,POM,0.3067,7.6816,NA,10.71,3.2,W,B
allstar_mine_2,17,MAOM,0.192,2.0722,NA,11.37,7.79,W,C
allstar_mine_2,17,POM,0.286,6.6812,NA,11.37,3.58,W,C
allstar_mine_2,18,MAOM,0.1543,1.9534,10,10.09,6.58,W,C
allstar_mine_2,18,POM,0.2281,7.0829,10,10.09,3.51,W,C
allstar_mine_2,2,MAOM,0.2174,2.279,9.98,10.1,7.55,W,B
allstar_mine_2,2,POM,0.3058,6.2353,9.98,10.1,2.55,W,B
allstar_mine_2,3,MAOM,0.241,2.4719,10.01,10.06,7.08,W,C
allstar_mine_2,3,POM,0.3289,7.6281,10.01,10.06,2.98,W,C
allstar_mine_2,4,MAOM,0.29,3.2627,9.98,10.68,7.41,S,B
allstar_mine_2,5,MAOM,0.2516,2.3589,10.03,10.5,7.47,S,C
allstar_mine_2,6,MAOM,0.3163,3.1837,10.01,10.31,7.15,S,C
allstar_mine_2,6,POM,0.4918,8.9536,10.01,10.31,3.16,S,C
allstar_mine_2,7,MAOM,0.2413,2.3209,10.06,10.52,7.21,W,C
allstar_mine_2,7,POM,0.3623,5.7003,10.06,10.52,3.31,W,C
allstar_mine_2,8,MAOM,0.26,2.8217,9.99,10.04,7.02,W,B
allstar_mine_2,8,POM,0.4101,7.5377,9.99,10.04,3.02,W,B
allstar_mine_2,9,MAOM,0.3235,3.0788,10,10.03,7.3,W,C
allstar_mine_2,9,POM,0.4396,6.0355,10,10.03,2.73,W,C
goshen,1,MAOM,0.2705,2.9151,10.01,10.53,6.52,S,C
goshen,1,POM,0.3575,6.1407,10.01,10.53,4.01,S,C
goshen,10,MAOM,0.3258,3.5418,10.01,10.48,5.43,S,C
goshen,10,POM,0.2975,5.1391,10.01,10.48,5.05,S,C
goshen,11,MAOM,0.2716,3.7124,10.01,10.28,5.5,S,B
goshen,11,POM,0.4822,11.73,10.01,10.28,4.78,S,B
goshen,12,MAOM,0.2366,2.4668,10.03,9.84,5.29,S,C
goshen,12,POM,0.337,6.2865,10.03,9.84,4.55,S,C
goshen,13,MAOM,0.3785,3.4858,NA,11.1,5.44,S,C
goshen,13,POM,0.5255,7.5064,NA,11.1,5.66,S,C
goshen,14,MAOM,0.3601,3.7982,NA,10.6,4.59,S,B
goshen,14,POM,0.5642,9.0336,NA,10.6,6.01,S,B
goshen,15,MAOM,0.2116,2.0461,10.02,10.54,6.28,S,C
goshen,15,POM,0.2796,4.5442,10.02,10.54,4.26,S,C
goshen,16,MAOM,0.2414,2.3426,10,10.04,4.57,W,C
goshen,16,POM,0.2651,4.238,10,10.04,5.47,W,C
goshen,17,MAOM,0.2104,2.385,10,10.11,6.23,W,B
goshen,17,POM,0.255,6.1882,10,10.11,3.88,W,B
goshen,18,MAOM,0.0977,0.981,NA,10.86,7.38,W,C
goshen,18,POM,0.1742,2.7297,NA,10.86,3.48,W,C
goshen,19,MAOM,0.3517,3.5724,10.01,10.53,4.86,S,C
goshen,19,POM,0.6206,9.7243,10.01,10.53,5.67,S,C
goshen,2,MAOM,0.2308,2.8846,9.97,10.21,6.68,S,B
goshen,2,POM,0.2548,6.0602,9.97,10.21,3.53,S,B
goshen,20,MAOM,0.1734,1.7627,9.98,10.72,6.43,S,C
goshen,20,POM,0.1896,3.5078,9.98,10.72,4.29,S,C
goshen,21,MAOM,0.3616,4.3923,9.98,10.4,4.97,S,B
goshen,21,POM,0.677,11.4607,9.98,10.4,5.43,S,B
goshen,22,MAOM,0.2348,2.7091,9.99,10.66,6.15,W,B
goshen,22,POM,0.2564,5.0483,9.99,10.66,4.51,W,B
