"site","plot","subsample_weight","POM + MAOM","fraction","fraction_weight_g","crop","treatment","ratio"
"Agronomy Farm","1",10.01,10.4,"MAOM",8.75,"W","F",0.841346153846154
"Agronomy Farm","1",10.01,10.4,"POM",1.65,"W","F",0.158653846153846
"Agronomy Farm","10",9.99,10.32,"MAOM",8.89,"S","F",0.861434108527132
"Agronomy Farm","10",9.99,10.32,"POM",1.43,"S","F",0.138565891472868
"Agronomy Farm","11",9.99,10.39,"MAOM",8.42,"S","B",0.810394610202117
"Agronomy Farm","11",9.99,10.39,"POM",1.97,"S","B",0.189605389797883
"Agronomy Farm","12",9.98,9.92,"MAOM",7.92,"S","C",0.798387096774194
"Agronomy Farm","12",9.98,9.92,"POM",2,"S","C",0.201612903225806
"Agronomy Farm","13",9.98,10.66,"MAOM",8.93,"S","C",0.837711069418386
"Agronomy Farm","13",9.98,10.66,"POM",1.73,"S","C",0.162288930581614
"Agronomy Farm","14",10.01,10.02,"MAOM",8.12,"S","F",0.810379241516966
"Agronomy Farm","14",10.01,10.02,"POM",1.9,"S","F",0.189620758483034
"Agronomy Farm","15",10,10.48,"MAOM",8.48,"S","B",0.809160305343511
"Agronomy Farm","15",10,10.48,"POM",2,"S","B",0.190839694656489
"Agronomy Farm","16",10,10.79,"MAOM",8.73,"W","B",0.809082483781279
"Agronomy Farm","16",10,10.79,"POM",2.06,"W","B",0.190917516218721
"Agronomy Farm","17",9.99,10.53,"MAOM",8.39,"W","F",0.796771130104463
"Agronomy Farm","17",9.99,10.53,"POM",2.14,"W","F",0.203228869895537
"Agronomy Farm","18",10.01,10.19,"MAOM",8.18,"W","C",0.802747791952895
"Agronomy Farm","18",10.01,10.19,"POM",2.01,"W","C",0.197252208047105
"Agronomy Farm","19",10.02,10.38,"MAOM",7.9,"S","F",0.761078998073218
"Agronomy Farm","19",10.02,10.38,"POM",2.48,"S","F",0.238921001926782
"Agronomy Farm","2",10,10.27,"MAOM",8.43,"W","B",0.820837390457644
"Agronomy Farm","2",10,10.27,"POM",1.84,"W","B",0.179162609542356
"Agronomy Farm","20",10.02,10.2,"MAOM",7.85,"S","C",0.769607843137255
"Agronomy Farm","20",10.02,10.2,"POM",2.35,"S","C",0.230392156862745
"Agronomy Farm","21",10,10.49,"MAOM",8.43,"S","B",0.803622497616778
"Agronomy Farm","21",10,10.49,"POM",2.06,"S","B",0.196377502383222
"Agronomy Farm","22",10.02,11.54,"MAOM",9.13,"W","C",0.791161178509532
"Agronomy Farm","22",10.02,11.54,"POM",2.41,"W","C",0.208838821490468
"Agronomy Farm","23",10.02,10.26,"MAOM",8.24,"W","B",0.803118908382066
"Agronomy Farm","23",10.02,10.26,"POM",2.02,"W","B",0.196881091617934
"Agronomy Farm","24",10,10.2,"MAOM",8.66,"W","F",0.849019607843137
"Agronomy Farm","24",10,10.2,"POM",1.54,"W","F",0.150980392156863
"Agronomy Farm","3",9.99,10.55,"MAOM",8.35,"W","C",0.791469194312796
"Agronomy Farm","3",9.99,10.55,"POM",2.2,"W","C",0.208530805687204
"Agronomy Farm","4",10.02,10.5,"MAOM",8.66,"S","B",0.824761904761905
"Agronomy Farm","4",10.02,10.5,"POM",1.84,"S","B",0.175238095238095
"Agronomy Farm","5",9.98,10.57,"MAOM",8.84,"S","F",0.836329233680227
"Agronomy Farm","5",9.98,10.57,"POM",1.73,"S","F",0.163670766319773
"Agronomy Farm","6",10.02,9.95,"MAOM",7.94,"S","C",0.797989949748744
"Agronomy Farm","6",10.02,9.95,"POM",2.01,"S","C",0.202010050251256
"Agronomy Farm","7",10.01,10.43,"MAOM",8.68,"W","B",0.832214765100671
"Agronomy Farm","7",10.01,10.43,"POM",1.75,"W","B",0.167785234899329
"Agronomy Farm","8",10.01,10.27,"MAOM",8.56,"W","C",0.833495618305745
"Agronomy Farm","8",10.01,10.27,"POM",1.71,"W","C",0.166504381694255
"Agronomy Farm","9",10.01,10.45,"MAOM",8.47,"W","F",0.810526315789474
"Agronomy Farm","9",10.01,10.45,"POM",1.98,"W","F",0.189473684210526
"Allstar Mine 1","1",10.02,10.75,"MAOM",6.58,"W","F",0.612093023255814
"Allstar Mine 1","1",10.02,10.75,"POM",4.17,"W","F",0.387906976744186
