"site","plot","crop","treatment","poxc","date"
"agronomy_farm","1","W","C",871.611193533333,2022-08-29
"agronomy_farm","10","S","C",692.375816966667,2022-08-29
"agronomy_farm","11","S","B",571.186296533333,2022-08-29
"agronomy_farm","12","S","C",403.665550533333,2022-08-29
"agronomy_farm","13","S","C",806.4033532,2022-08-29
"agronomy_farm","14","S","C",716.198090333333,2022-08-29
"agronomy_farm","15","S","B",995.690580266667,2022-08-29
"agronomy_farm","16","W","B",530.8684359,2022-08-29
"agronomy_farm","17","W","C",738.028121433333,2022-08-29
"agronomy_farm","18","W","C",681.276600033333,2022-08-29
"agronomy_farm","19","S","C",842.2860592,2022-08-29
"agronomy_farm","2","W","B",874.720327733333,2022-08-29
"agronomy_farm","20","S","C",410.829666666667,2022-08-29
"agronomy_farm","21","S","B",646.945419933333,2022-08-29
"agronomy_farm","22","W","C",722.3454729,2022-08-29
"agronomy_farm","23","W","B",504.643370066667,2022-08-29
"agronomy_farm","24","W","C",589.752987666667,2022-08-29
"agronomy_farm","4","S","B",584.665307866667,2022-08-29
"agronomy_farm","5","S","C",599.511185366667,2022-08-29
"agronomy_farm","6","S","C",836.71866,2022-08-29
"agronomy_farm","7","W","B",560.6440645,2022-08-29
"agronomy_farm","8","W","C",595.8211239,2022-08-29
"agronomy_farm","9","W","C",664.283500366667,2022-08-29
"allstar_mine_1","1","W","C",1231.91449066667,2022-08-29
"allstar_mine_1","10","S","C",1328.55290766667,2022-08-29
"allstar_mine_1","11","S","C",1120.91451166667,2022-08-29
"allstar_mine_1","12","S","B",988.1221885,2022-08-29
"allstar_mine_1","13","W","B",1210.26398766667,2022-08-29
"allstar_mine_1","14","W","C",911.383366533333,2022-08-29
"allstar_mine_1","15","W","C",1131.06598066667,2022-08-29
"allstar_mine_1","16","S","C",937.456268766667,2022-08-29
"allstar_mine_1","17","S","B",1038.51218326667,2022-08-29
"allstar_mine_1","18","S","C",797.5717774,2022-08-29
"allstar_mine_1","19","W","B",1334.89536433333,2022-08-29
"allstar_mine_1","2","W","C",863.974816333333,2022-08-29
"allstar_mine_1","20","W","C",945.537002366667,2022-08-29
"allstar_mine_1","21","W","C",1127.49307133333,2022-08-29
"allstar_mine_1","22","S","C",1221.78267066667,2022-08-29
"allstar_mine_1","23","S","B",1184.26389466667,2022-08-29
"allstar_mine_1","24","S","C",1344.024294,2022-08-29
"allstar_mine_1","3","W","B",982.610431066667,2022-08-29
"allstar_mine_1","4","S","C",1266.569908,2022-08-29
"allstar_mine_1","5","S","B",1157.7358275,2022-08-29
"allstar_mine_1","6","S","C",1144.013794,2022-08-29
"allstar_mine_1","7","W","B",1042.3706649,2022-08-29
