site,plot,weight,poxc
agronomy_farm,1,2.48,896.6032258
agronomy_farm,1,2.5,897.336
agronomy_farm,1,2.48,820.8943548
agronomy_farm,2,2.47,897.1214575
agronomy_farm,2,2.53,834.7588933
agronomy_farm,2,2.53,892.2806324
agronomy_farm,3,2.49,1156.684337
agronomy_farm,3,2.48,1161.348387
agronomy_farm,3,2.54,1301.853543
agronomy_farm,4,2.49,552.9253012
agronomy_farm,4,2.53,609.2537549
agronomy_farm,4,2.49,591.8168675
agronomy_farm,5,2.46,618.5560976
agronomy_farm,5,2.48,613.5677419
agronomy_farm,5,2.47,566.4097166
agronomy_farm,6,2.49,891.513253
agronomy_farm,6,2.46,770.5463415
agronomy_farm,6,2.49,848.0963855
agronomy_farm,7,2.5,487.1232
agronomy_farm,7,2.5,534.4848
agronomy_farm,7,2.48,660.3241935
agronomy_farm,8,2.47,668.6672065
agronomy_farm,8,2.5,588.1824
agronomy_farm,8,2.47,530.6137652
agronomy_farm,9,2.55,650.0470588
agronomy_farm,9,2.52,669.3142857
agronomy_farm,9,2.49,673.4891566
agronomy_farm,10,2.53,604.6007905
agronomy_farm,10,2.55,637.3411765
agronomy_farm,10,2.48,835.1854839
agronomy_farm,11,2.53,528.4031621
agronomy_farm,11,2.48,598.2822581
agronomy_farm,11,2.45,586.8734694
agronomy_farm,13,2.55,900.6917647
agronomy_farm,13,2.47,788.7206478
agronomy_farm,13,2.55,729.7976471
agronomy_farm,14,2.5,777.2688
agronomy_farm,14,2.5,701.8416
agronomy_farm,14,2.48,669.483871
agronomy_farm,15,2.45,971.4122449
agronomy_farm,15,2.55,981.4023529
agronomy_farm,15,2.52,1034.257143
agronomy_farm,12,2.45,343.2342857
agronomy_farm,12,2.53,457.6837945
agronomy_farm,12,2.52,410.0785714
agronomy_farm,16,2.53,513.5620553
agronomy_farm,16,2.52,546.3428571
agronomy_farm,16,2.53,532.7003953
agronomy_farm,17,2.55,747.9811765
agronomy_farm,17,2.55,727.0870588
agronomy_farm,17,2.48,739.016129
agronomy_farm,18,2.53,697.8023715
agronomy_farm,18,2.52,667.5714286
agronomy_farm,18,2.5,678.456
agronomy_farm,19,2.45,818.875102
agronomy_farm,19,2.54,808.9228346
agronomy_farm,19,2.49,899.060241
agronomy_farm,20,2.5,379.3896
agronomy_farm,20,2.49,479.6746988
agronomy_farm,20,2.51,373.4247012
agronomy_farm,21,2.47,615.0753036
agronomy_farm,21,2.51,664.8669323
agronomy_farm,21,2.51,660.8940239
agronomy_farm,22,2.53,677.1699605
agronomy_farm,22,2.45,684.2938776
agronomy_farm,22,2.48,805.5725806
agronomy_farm,23,2.45,472.2097959
agronomy_farm,23,2.47,583.8850202
agronomy_farm,23,2.55,457.8352941
agronomy_farm,24,2.47,555.3182186
agronomy_farm,24,2.49,547.5180723
agronomy_farm,24,2.47,666.4226721
allstar_mine_1,1,2.55,1266.211765
allstar_mine_1,1,2.46,1278.029268
allstar_mine_1,1,2.46,1151.502439
allstar_mine_1,2,2.45,836.6693878
allstar_mine_1,2,2.47,753.5222672
allstar_mine_1,2,2.47,1001.732794
allstar_mine_1,3,2.48,1001.641935
allstar_mine_1,3,2.51,916.5011952
allstar_mine_1,3,2.45,1029.688163
allstar_mine_1,4,2.47,1284.558704
allstar_mine_1,4,2.45,1257.57551
allstar_mine_1,4,2.45,1257.57551
allstar_mine_1,5,2.47,1273.059109
allstar_mine_1,5,2.47,991.2242915
allstar_mine_1,5,2.45,1208.924082
allstar_mine_1,6,2.55,1153.948235
allstar_mine_1,6,2.45,1133.103673
allstar_mine_1,6,2.47,1144.989474
allstar_mine_1,7,2.46,1044.409756
allstar_mine_1,7,2.48,981.6387097
allstar_mine_1,7,2.55,1101.063529
allstar_mine_1,8,2.48,1199.104839
allstar_mine_1,8,2.48,1291.398387
allstar_mine_1,8,2.48,1215.885484
allstar_mine_1,18,2.52,843
allstar_mine_1,18,2.51,770.1992032
allstar_mine_1,18,2.48,779.516129
allstar_mine_1,9,2.51,918.2868526
allstar_mine_1,9,2.55,878.8941176
allstar_mine_1,9,2.47,924.5587045
allstar_mine_1,10,2.45,1323.742041
allstar_mine_1,10,2.45,1319.510204
allstar_mine_1,10,2.47,1342.406478
allstar_mine_1,11,2.5,1112.4576
allstar_mine_1,11,2.51,1116.516335
allstar_mine_1,11,2.5,1133.7696
allstar_mine_1,12,2.46,952.1268293
allstar_mine_1,12,2.53,1022.713043
allstar_mine_1,12,2.51,989.5266932
allstar_mine_1,13,2.5,1193.148
allstar_mine_1,13,2.55,1125.917647
allstar_mine_1,13,2.47,1311.726316
allstar_mine_1,14,2.46,835.3756098
allstar_mine_1,14,2.52,1012.55
allstar_mine_1,14,2.45,886.2244898
allstar_mine_1,15,2.51,1129.984064
allstar_mine_1,15,2.52,1117.657143
allstar_mine_1,15,2.45,1145.556735
allstar_mine_1,16,2.5,975.06
allstar_mine_1,16,2.5,983.376
allstar_mine_1,16,2.53,853.9328063
allstar_mine_1,17,2.51,1100.23745
allstar_mine_1,17,2.52,1088.185714
allstar_mine_1,17,2.54,927.1133858
allstar_mine_1,19,2.45,1285.978776
allstar_mine_1,19,2.46,1361.107317
allstar_mine_1,19,2.52,1357.6
allstar_mine_1,20,2.45,956.9828571
allstar_mine_1,20,2.53,933.2964427
allstar_mine_1,20,2.46,946.3317073
allstar_mine_1,21,2.48,1151.709677
allstar_mine_1,21,2.54,1124.503937
allstar_mine_1,21,2.5,1106.2656
allstar_mine_1,22,2.49,1215.325301
allstar_mine_1,22,2.47,1229.523887
allstar_mine_1,22,2.55,1220.498824
allstar_mine_1,23,2.45,1238.767347
allstar_mine_1,23,2.47,1184.327126
allstar_mine_1,23,2.51,1129.697211
allstar_mine_1,24,2.5,1339.3296
allstar_mine_1,24,2.5,1364.2992
allstar_mine_1,24,2.45,1328.444082
allstar_mine_1,offsite 1,2.46,875.3268293
allstar_mine_1,offsite 1,2.48,850.5217742
allstar_mine_1,offsite 1,2.48,832.7758065
allstar_mine_1,offsite 2,2.53,191.8814229
allstar_mine_1,offsite 2,2.45,575.4416327
