"site","plot","crop","treatment","poxc","date"
"agronomy_farm",1,"W","C",571.939828833333,2021-06-01
"agronomy_farm",2,"W","B",1514.57302333333,2021-06-01
"agronomy_farm",4,"S","B",545.439794633333,2021-06-01
"agronomy_farm",5,"S","C",426.444757983333,2021-06-01
"agronomy_farm",6,"S","C",751.539009466667,2021-06-01
"agronomy_farm",7,"W","B",559.725542266667,2021-06-01
"agronomy_farm",8,"W","C",759.7842901,2021-06-01
"agronomy_farm",9,"W","C",918.082379666667,2021-06-01
"agronomy_farm",10,"S","C",981.569000733333,2021-06-01
"agronomy_farm",11,"S","B",961.592603966667,2021-06-01
"agronomy_farm",12,"S","C",855.443333333333,2021-06-01
"agronomy_farm",13,"S","C",1122.89013,2021-06-01
"agronomy_farm",14,"S","C",564.559541366667,2021-06-01
"agronomy_farm",15,"S","B",930.5491633,2021-06-01
"agronomy_farm",16,"W","B",607.044545133333,2021-06-01
"agronomy_farm",17,"W","C",665.846236566667,2021-06-01
"agronomy_farm",18,"W","C",653.508393366667,2021-06-01
"agronomy_farm",19,"S","C",664.778374933333,2021-06-01
"agronomy_farm",20,"S","C",451.3723147,2021-06-01
"agronomy_farm",21,"S","B",898.291960433333,2021-06-01
"agronomy_farm",22,"W","C",906.011448883333,2021-06-01
"agronomy_farm",23,"W","B",488.3807805,2021-06-01
"agronomy_farm",24,"W","C",958.632461066667,2021-06-01
"allstar_mine_1",1,"W","C",1241.18179866667,2021-06-01
"allstar_mine_1",2,"W","C",1143.52221133333,2021-06-01
"allstar_mine_1",3,"W","B",950.80945536,2021-06-01
"allstar_mine_1",4,"S","C",1706.58832133333,2021-06-01
"allstar_mine_1",5,"S","B",1356.084776,2021-06-01
"allstar_mine_1",6,"S","C",1278.07803866667,2021-06-01
"allstar_mine_1",7,"W","B",811.932682766667,2021-06-01
"allstar_mine_1",8,"W","C",1162.049349,2021-06-01
"allstar_mine_1",9,"W","C",1289.73453966667,2021-06-01
"allstar_mine_1",10,"S","C",998.899349733333,2021-06-01
"allstar_mine_1",11,"S","C",1337.04736833333,2021-06-01
"allstar_mine_1",12,"S","B",1076.9449563,2021-06-01
"allstar_mine_1",13,"W","B",638.46185756,2021-06-01
"allstar_mine_1",14,"W","C",1326.45367633333,2021-06-01
"allstar_mine_1",15,"W","C",987.999023333333,2021-06-01
"allstar_mine_1",16,"S","C",1456.17301,2021-06-01
"allstar_mine_1",17,"S","B",641.736644133333,2021-06-01
"allstar_mine_1",18,"S","C",858.895836833333,2021-06-01
"allstar_mine_1",19,"W","B",699.014396266667,2021-06-01
"allstar_mine_1",20,"W","C",663.7944664,2021-06-01
"allstar_mine_1",21,"W","C",683.59058825,2021-06-01
"allstar_mine_1",22,"S","C",1069.150257,2021-06-01
"allstar_mine_1",23,"S","B",1109.893776,2021-06-01
"allstar_mine_1",24,"S","C",1121.03252866667,2021-06-01
"allstar_mine_2",1,"W","C",996.2418246,2021-06-01
"allstar_mine_2",2,"W","B",479.2128445,2021-06-01
"allstar_mine_2",3,"W","C",1549.028751,2021-06-01
"allstar_mine_2",4,"S","B",1445.67877533333,2021-06-01
"allstar_mine_2",5,"S","C",1113.30333333333,2021-06-01
"allstar_mine_2",6,"S","C",1111.500901,2021-06-01
"allstar_mine_2",7,"W","C",762.209431266667,2021-06-01
"allstar_mine_2",8,"W","B",1150.05575333333,2021-06-01
"allstar_mine_2",9,"W","C",1646.58321,2021-06-01
"allstar_mine_2",10,"S","B",851.831301233333,2021-06-01
"allstar_mine_2",11,"S","C",733.851528333333,2021-06-01
