site,plot,weight.g,poxc,,,,Missing Samples from Each Site (needs to have triplicates for each plot),,,
agronomy_farm,1,2.54,600.3850394,,,,,,,
agronomy_farm,1,2.47,577.588664,,,,Plot,Site,Notes (By Site),
agronomy_farm,1,2.49,537.8457831,,,,Agronomy ,5 (one entry),note: plot 22 has six entries,Agro
agronomy_farm,2,2.48,1505.714516,,,,Agronomy ,12 (missing),,
agronomy_farm,2,2.5,1512.1584,,,,All-Star #1,13 (two entries),note: plot 3 has five entries,A #1
agronomy_farm,2,2.47,1525.846154,,,,All-Star #1,17 (missing),note: plot 7 has six entries,A #1
agronomy_farm,3,2.52,1366.585714,,,,All-Star #1,19 (missing),,
agronomy_farm,3,2.47,1369.501215,,,,All-Star #1,20 (missing),,
agronomy_farm,3,2.52,1378.714286,,,,All-Star #1,21 (missing),,
agronomy_farm,4,2.47,554.8080972,,,,All-Star #2,5 (missing),note: plot 13 has five entries,A #2
agronomy_farm,4,2.46,479.4878049,,,,All-Star #2,12 (missing),,
agronomy_farm,4,2.47,602.0234818,,,,Goshen Road,1 (missing),,
agronomy_farm,5,2.52,654.5857143,,,,Goshen Road,9 (missing),,
agronomy_farm,5,2.52,183.4285714,,,,Goshen Road,19 (missing),,
agronomy_farm,5,2.54,195.6755906,,,,Jackson's Mill,17 (missing),note: plot 14 has six entries,Jackson
agronomy_farm,5,2.53,347.6490119,,,,Reedsville,2 (missing),note: plot 22 has five entries,Reed
agronomy_farm,5,2.49,662.4722892,,,,Reedsville,7 (missing),note: plot 23 has six entries,Reed
agronomy_farm,5,2.51,514.8573705,,,,Reedsville,8 (missing),,
agronomy_farm,6,2.55,765.1341176,,,,Reedsville,15 (missing),,
agronomy_farm,6,2.49,726.5277108,,,,Reedsville,18 (missing),,
agronomy_farm,6,2.5,762.9552,,,,Reedsville,24 MISSING,,
agronomy_farm,7,2.47,472.8680162,,,,,,Agronomy Farm 5 was done twice (so 6 samples total),
agronomy_farm,7,2.48,643.0645161,,,,,,,
agronomy_farm,7,2.54,563.2440945,,,,,,,
agronomy_farm,8,2.54,772.4480315,,,,,,,
agronomy_farm,8,2.48,753.4524194,,,,,,,
agronomy_farm,8,2.48,753.4524194,,,,,,,
agronomy_farm,9,2.51,861.447012,,,,,,,
agronomy_farm,9,2.48,989.7387097,,,,,,,
agronomy_farm,9,2.54,903.0614173,,,,,,,
agronomy_farm,10,2.5,955.8576,,,,,,,
agronomy_farm,10,2.51,1032.339442,,,,,,,
agronomy_farm,10,2.51,956.5099602,,,,,,,
agronomy_farm,11,2.53,974.0490119,,,,,,,
agronomy_farm,11,2.5,1051.1568,,,,,,,
agronomy_farm,11,2.5,859.572,,,,,,,
agronomy_farm,12,2.47,831.09,,,,,,,
agronomy_farm,12,2.54,899.46,,,,,,,
agronomy_farm,12,2.47,835.78,,,,,,,
agronomy_farm,13,2.52,1147.057143,,,,,,,
agronomy_farm,13,2.55,1115.435294,,,,,,,
agronomy_farm,13,2.54,1106.177953,,,,,,,
agronomy_farm,14,2.48,471.1064516,,,,,,,
agronomy_farm,14,2.48,594.8709677,,,,,,,
agronomy_farm,14,2.49,627.7012048,,,,,,,
agronomy_farm,15,2.48,932.6322581,,,,,,,
agronomy_farm,15,2.46,960.9219512,,,,,,,
agronomy_farm,15,2.53,898.0932806,,,,,,,
agronomy_farm,16,2.54,616.0748031,,,,,,,
agronomy_farm,16,2.5,630.6048,,,,,,,
agronomy_farm,16,2.48,574.4540323,,,,,,,
agronomy_farm,17,2.52,653.2,,,,,,,
agronomy_farm,17,2.48,701.6879032,,,,,,,
agronomy_farm,17,2.48,642.6508065,,,,,,,
agronomy_farm,18,2.51,620.6199203,,,,,,,
agronomy_farm,18,2.5,640.584,,,,,,,
agronomy_farm,18,2.54,699.3212598,,,,,,,
agronomy_farm,19,2.48,506.8306452,,,,,,,
agronomy_farm,19,2.51,646.0996016,,,,,,,
agronomy_farm,19,2.46,841.404878,,,,,,,
agronomy_farm,20,2.51,353.4956175,,,,,,,
agronomy_farm,20,2.49,56.0746988,,,,,,,
agronomy_farm,20,2.53,549.2490119,,,,,,,
agronomy_farm,21,2.46,875.1804878,,,,,,,
agronomy_farm,21,2.54,899.319685,,,,,,,
agronomy_farm,21,2.47,920.3757085,,,,,,,
agronomy_farm,22,2.5,821.5056,,,,,,,
agronomy_farm,22,2.47,772.557085,,,,,,,
agronomy_farm,22,2.54,927.5811024,,,,,,,
agronomy_farm,22,2.53,966.6498024,,,,,,,
agronomy_farm,22,2.53,979.9256917,,,,,,,
agronomy_farm,22,2.55,967.8494118,,,,,,,
agronomy_farm,23,2.5,541.8216,,,,,,,
agronomy_farm,23,2.5,429.6744,,,,,,,
agronomy_farm,23,2.46,493.6463415,,,,,,,
agronomy_farm,24,2.46,1000.968293,,,,,,,
agronomy_farm,24,2.51,981.0286853,,,,,,,
agronomy_farm,24,2.47,893.9004049,,,,,,,
allstar_mine_1,1,2.53,1196.857708,,,,,,,
allstar_mine_1,1,2.51,1231.565737,,,,,,,
allstar_mine_1,1,2.46,1295.121951,,,,,,,
allstar_mine_1,2,2.51,1155.786454,,,,,,,
allstar_mine_1,2,2.53,1138.382609,,,,,,,
allstar_mine_1,2,2.47,1136.397571,,,,,,,
allstar_mine_1,3,2.49,868.9373494,,,,,,,
allstar_mine_1,3,2.55,942.4941176,,,,,,,
allstar_mine_1,3,2.53,970.5770751,,,,,,,
allstar_mine_1,3,2.53,1059.168379,,,,,,,
allstar_mine_1,3,2.53,912.8703557,,,,,,,
allstar_mine_1,4,2.49,1683.238554,,,,,,,
allstar_mine_1,4,2.48,1711.509677,,,,,,,
allstar_mine_1,4,2.51,1725.016733,,,,,,,
allstar_mine_1,5,2.49,1333.53253,,,,,,,
allstar_mine_1,5,2.47,1382.305263,,,,,,,
allstar_mine_1,5,2.54,1352.416535,,,,,,,
allstar_mine_1,6,2.48,1372.064516,,,,,,,
allstar_mine_1,6,2.5,1165.0176,,,,,,,
allstar_mine_1,6,2.5,1297.152,,,,,,,
allstar_mine_1,7,2.49,598.0698795,,,,,,,
allstar_mine_1,7,2.53,344.7320158,,,,,,,
allstar_mine_1,7,2.48,292.6451613,,,,,,,
allstar_mine_1,7,2.47,1136.025911,,,,,,,
allstar_mine_1,7,2.47,1291.336032,,,,,,,
allstar_mine_1,7,2.48,1208.787097,,,,,,,
allstar_mine_1,8,2.49,1219.387952,,,,,,,
allstar_mine_1,8,2.54,1163.296063,,,,,,,
allstar_mine_1,8,2.53,1103.464032,,,,,,,
allstar_mine_1,9,2.49,1282.178313,,,,,,,
allstar_mine_1,9,2.52,1297.314286,,,,,,,
allstar_mine_1,9,2.45,1289.71102,,,,,,,
allstar_mine_1,10,2.5,1009.1016,,,,,,,
allstar_mine_1,10,2.47,1021.357895,,,,,,,
allstar_mine_1,10,2.49,966.2385542,,,,,,,
allstar_mine_1,11,2.47,1304.948988,,,,,,,
allstar_mine_1,11,2.52,1371.3,,,,,,,
allstar_mine_1,11,2.47,1334.893117,,,,,,,
allstar_mine_1,12,2.55,943.0023529,,,,,,,
allstar_mine_1,12,2.5,1097.568,,,,,,,
allstar_mine_1,12,2.48,1190.264516,,,,,,,
allstar_mine_1,13,2.5,709.83,,,,,,,
allstar_mine_1,13,2.48,650.12,,,,,,,
allstar_mine_1,13,2.51,683.91,,,,,,,
allstar_mine_1,13,2.46,608.7804878,,,,,,,
allstar_mine_1,13,2.5,539.6688,,,,,,,
allstar_mine_1,14,2.5,1446.336,,,,,,,
allstar_mine_1,14,2.53,1205.957312,,,,,,,
allstar_mine_1,14,2.54,1327.067717,,,,,,,
allstar_mine_1,15,2.5,848.988,,,,,,,
allstar_mine_1,15,2.51,1072.14741,,,,,,,
allstar_mine_1,15,2.53,1042.86166,,,,,,,
allstar_mine_1,16,2.51,1516.532271,,,,,,,
allstar_mine_1,16,2.46,1345.843902,,,,,,,
allstar_mine_1,16,2.52,1506.142857,,,,,,,
allstar_mine_1,17,2.48,649.1612903,,,,,,,
allstar_mine_1,17,2.48,617.6612903,,,,,,,
allstar_mine_1,17,2.53,658.3873518,,,,,,,
allstar_mine_1,18,2.46,938.5609756,,,,,,,
allstar_mine_1,18,2.49,830.8337349,,,,,,,
allstar_mine_1,18,2.5,807.2928,,,,,,,
allstar_mine_1,19,2.51,789.1601594,,,,,,,
allstar_mine_1,19,2.48,625.7612903,,,,,,,
allstar_mine_1,19,2.53,682.1217391,,,,,,,
allstar_mine_1,20,2.53,741.6853755,,,,,,,
allstar_mine_1,20,2.48,148.9935484,,,,,,,
allstar_mine_1,20,2.53,585.9035573,,,,,,,
allstar_mine_1,21,2.55,763.1435294,,,,,,,
allstar_mine_1,21,2.49,115.8072289,,,,,,,
allstar_mine_1,21,2.55,604.0376471,,,,,,,
allstar_mine_1,22,2.54,1023.902362,,,,,,,
allstar_mine_1,22,2.47,1052.919838,,,,,,,
allstar_mine_1,22,2.52,1130.628571,,,,,,,
allstar_mine_1,23,2.54,1021.93937,,,,,,,
allstar_mine_1,23,2.51,1212.626295,,,,,,,
allstar_mine_1,23,2.49,1095.115663,,,,,,,
allstar_mine_1,24,2.52,1155.642857,,,,,,,
allstar_mine_1,24,2.48,1072.379032,,,,,,,
allstar_mine_1,24,2.51,1135.075697,,,,,,,
allstar_mine_2,1,2.51,950.4860558,,,,,,,
allstar_mine_2,1,2.45,1003.84898,,,,,,,
allstar_mine_2,1,2.51,1034.390438,,,,,,,
allstar_mine_2,2,2.47,348.8064777,,,,,,,
allstar_mine_2,2,2.52,498.2857143,,,,,,,
allstar_mine_2,2,2.46,590.5463415,note: added bold for distinction between 1 & 2,,,,,,
allstar_mine_2,3,2.54,1542.940157,,,,,,,
allstar_mine_2,3,2.52,1568.942857,,,,,,,
allstar_mine_2,3,2.47,1535.203239,,,,,,,
allstar_mine_2,4,2.48,1500.967742,,,,,,,
allstar_mine_2,4,2.47,1433.703644,,,,,,,
allstar_mine_2,4,2.51,1402.36494,,,,,,,
allstar_mine_2,5,2.49,1336.51,,,,,,,
allstar_mine_2,5,2.5,969.49,,,,,,,
allstar_mine_2,5,2.49,1033.91,,,,,,,
allstar_mine_2,6,2.48,1158.503226,,,,,,,
allstar_mine_2,6,2.48,1030.529032,,,,,,,
