site,plot,weight,poxc,,,,,,,,
agronomy_farm,1,2.49,637.2723,,,,,,,,
agronomy_farm,1,2.55,586.0235,,,Too many replicates,,,Missing,,
agronomy_farm,1,2.47,609.6826,,,Agro 2,,,,,
agronomy_farm,2,2.52,1163.35,a,,Agro 3,,,Agronomy,20,
agronomy_farm,2,2.54,1312.186,a,,Agro 22,,,,,
agronomy_farm,2,2.53,1299.244,a,,All_star_mine_1 6,,,Agronomy off-site,2,May have been confused with normal agronomy 2
agronomy_farm,2,2.47,1033.71,a,,JM 20,,,Agronomy off-site,3,May have been confused with normal agronomy 3
agronomy_farm,2,2.52,1022.3,a,,,,,All-star 2 ,6,
agronomy_farm,2,2.49,1085.27,a,,,,,,,
agronomy_farm,3,2.47,885.1628,a,,,,,,,
agronomy_farm,3,2.54,811.1126,a,,,,,JM,2,
agronomy_farm,3,2.46,963.3366,a,,,,,,,
agronomy_farm,3,2.5,966.2688,a,,,,,,,
agronomy_farm,3,2.46,972.6585,a,,,,,,,
agronomy_farm,3,2.53,954.8111,a,,,,,samples to re-do ,Reason,
agronomy_farm,4,2.5,1082.938,,,,,,Agro 2,confused with the off-site ,
agronomy_farm,4,2.52,1011.371,,,,,,Agro off-site 2,missing,
agronomy_farm,4,2.55,986.3718,,,,,,Agro 3,confused with the off-site ,
agronomy_farm,5,2.47,903.3522,,,,,,Agro off-site 3,missing,
agronomy_farm,5,2.45,1050.495,,,,,,JM 20,confused with JM 2?,
agronomy_farm,5,2.52,994.8,,,,,,JM 2,missing,
agronomy_farm,6,2.5,1274.285,,,,,,all_star_mine_2 6,missing,
agronomy_farm,6,2.5,1256.083,,,,,,Agronomy 20,missing,
agronomy_farm,6,2.5,1137.773,,,,,,Agro 22,6 replicates,
agronomy_farm,7,2.47,1141.943,,,,,,all-star #1 21,messed up during experiment,
agronomy_farm,7,2.49,1095.181,,,,,,all-star #1 6,6 replicates,
agronomy_farm,7,2.54,921.6142,,,,,,,,
agronomy_farm,8,2.48,1033.548,,,,,,,,
agronomy_farm,8,2.46,1099.024,,,,,,,,
agronomy_farm,8,2.48,1024.498,,,,,,,,
agronomy_farm,9,2.49,1024.67,,,,,,,,
agronomy_farm,9,2.48,981.4573,,,,,,,,
agronomy_farm,9,2.49,1110.405,,,,,,,,
agronomy_farm,10,2.47,1136.682,,,,,,,,
agronomy_farm,10,2.52,1143.779,,,,,,,,
agronomy_farm,10,2.47,1066.737,,,,,,,,
agronomy_farm,11,2.49,1225.88,,,,,,,,
agronomy_farm,11,2.53,1053.818,,,,,,,,
agronomy_farm,11,2.47,879.1943,,,,,,,,
agronomy_farm,12,2.5,847.296,,,,,,,,
agronomy_farm,12,2.52,832.1,,,,,,,,
agronomy_farm,12,2.48,879.9532,,,,,,,,
agronomy_farm,13,2.55,834.8682,,,,,,,,
agronomy_farm,13,2.48,888.5613,,,,,,,,
agronomy_farm,13,2.51,1275.576,,,,,,,,
