site,plot,date,poxc
agronomy_farm,offsite 1,May-22,955.4454333
allstar_mine_1,offsite 1,May-22,849.8551
allstar_mine_1,offsite 2,May-22,869.0728
allstar_mine_1,offsite 3,May-22,896.2952333
allstar_mine_2,offsite 1,May-22,804.4250333
allstar_mine_2,offsite 2,May-22,663.6480333
allstar_mine_2,offsite 3,May-22,1261.956333
goshen,offsite 1,May-22,721.7887667
goshen,offsite 2,May-22,780.3835083
goshen,offsite 3,May-22,746.5984
jackson_mill,offsite 1,May-22,701.9433893
jackson_mill,offsite 2,May-22,646.531384
jackson_mill,offsite 3,May-22,599.30663
reedsville,offsite 1,May-22,1284.301667
reedsville,offsite 2,May-22,1099.268333
reedsville,offsite 3,May-22,786.2555
allstar_mine_1,offsite 1,Aug-22,852.8748033
allstar_mine_1,offsite 2,Aug-22,455.9247519
allstar_mine_1,offsite 3,Aug-22,1322.684671
allstar_mine_2,offsite 1,Aug-22,1113.494576
allstar_mine_2,offsite 2,Aug-22,1075.651045
allstar_mine_2,offsite 3,Aug-22,976.4122057
goshen,offsite 1,Aug-22,944.5454454
goshen,offsite 3,Aug-22,830.2890572
jackson_mill,offsite 1,Aug-22,1246.051912
jackson_mill,offsite 2,Aug-22,942.5781058
jackson_mill,offsite 3,Aug-22,1051.089739
