site,plot,crop,treatment,poxc,date,land_type
Agronomy Farm,1,W,C,571.9398288,Jun-21,Agriculture
Agronomy Farm,2,W,B,1514.573023,Jun-21,Agriculture
Agronomy Farm,4,S,B,545.4397946,Jun-21,Agriculture
Agronomy Farm,5,S,C,426.444758,Jun-21,Agriculture
Agronomy Farm,6,S,C,751.5390095,Jun-21,Agriculture
Agronomy Farm,7,W,B,559.7255423,Jun-21,Agriculture
Agronomy Farm,8,W,C,759.7842901,Jun-21,Agriculture
Agronomy Farm,9,W,C,918.0823797,Jun-21,Agriculture
Agronomy Farm,10,S,C,981.5690007,Jun-21,Agriculture
Agronomy Farm,11,S,B,961.592604,Jun-21,Agriculture
Agronomy Farm,12,S,C,855.4433333,Jun-21,Agriculture
Agronomy Farm,13,S,C,1122.89013,Jun-21,Agriculture
Agronomy Farm,14,S,C,564.5595414,Jun-21,Agriculture
Agronomy Farm,15,S,B,930.5491633,Jun-21,Agriculture
Agronomy Farm,16,W,B,607.0445451,Jun-21,Agriculture
Agronomy Farm,17,W,C,665.8462366,Jun-21,Agriculture
Agronomy Farm,18,W,C,653.5083934,Jun-21,Agriculture
Agronomy Farm,19,S,C,664.7783749,Jun-21,Agriculture
Agronomy Farm,20,S,C,451.3723147,Jun-21,Agriculture
Agronomy Farm,21,S,B,898.2919604,Jun-21,Agriculture
Agronomy Farm,22,W,C,906.0114489,Jun-21,Agriculture
Agronomy Farm,23,W,B,488.3807805,Jun-21,Agriculture
Agronomy Farm,24,W,C,958.6324611,Jun-21,Agriculture
Jackson Mill,1,W,B,810.5261425,Jun-21,Agriculture
Jackson Mill,2,W,C,1055.74604,Jun-21,Agriculture
Jackson Mill,3,W,C,1407.116155,Jun-21,Agriculture
Jackson Mill,4,S,C,1181.883333,Jun-21,Agriculture
Jackson Mill,5,S,B,895.9336913,Jun-21,Agriculture
Jackson Mill,6,S,C,1145.295096,Jun-21,Agriculture
Jackson Mill,7,S,B,1252.849847,Jun-21,Agriculture
Jackson Mill,8,S,C,588.9417905,Jun-21,Agriculture
Jackson Mill,9,S,C,579.8978494,Jun-21,Agriculture
Jackson Mill,10,W,C,1028.008282,Jun-21,Agriculture
Jackson Mill,11,W,C,1090.393942,Jun-21,Agriculture
Jackson Mill,12,W,B,834.2745216,Jun-21,Agriculture
Jackson Mill,13,S,B,1345.663729,Jun-21,Agriculture
Jackson Mill,14,S,C,1174.548746,Jun-21,Agriculture
Jackson Mill,15,S,C,907.0183698,Jun-21,Agriculture
Jackson Mill,16,W,B,1275.549476,Jun-21,Agriculture
Jackson Mill,17,W,C,1105.856667,Jun-21,Agriculture
Jackson Mill,19,W,C,1241.809983,Jun-21,Agriculture
Jackson Mill,20,W,B,1189.384919,Jun-21,Agriculture
Jackson Mill,21,W,C,1136.413256,Jun-21,Agriculture
Jackson Mill,22,S,C,1391.678259,Jun-21,Agriculture
Jackson Mill,23,S,C,919.530261,Jun-21,Agriculture
Jackson Mill,24,S,B,1408.616554,Jun-21,Agriculture
Reedsville,1,S,C,951.964,Jun-21,Agriculture
Reedsville,2,S,C,585.9537849,Jun-21,Agriculture
