"site","plot","crop","treatment","poxc"
"agronomy_farm","1","W","F",610.9928
"agronomy_farm","10","S","F",1115.73266666667
"agronomy_farm","11","S","B",1052.9641
"agronomy_farm","12","S","C",853.1164
"agronomy_farm","13","S","C",999.6685
"agronomy_farm","14","S","F",1177.84833333333
"agronomy_farm","15","S","B",1138.8115
"agronomy_farm","16","W","B",800.7059
"agronomy_farm","17","W","F",1000.3412
"agronomy_farm","18","W","C",838.8939
"agronomy_farm","19","S","F",848.241466666667
"agronomy_farm","2","W","B",1152.67666666667
"agronomy_farm","21","S","B",1211.39333333333
"agronomy_farm","22","W","C",1248.91483333333
"agronomy_farm","23","W","B",971.419033333333
"agronomy_farm","24","W","F",796.469333333333
"agronomy_farm","3","W","C",925.5584
"agronomy_farm","4","S","B",1026.8936
"agronomy_farm","5","S","F",982.8824
"agronomy_farm","6","S","C",1222.71366666667
"agronomy_farm","7","W","B",1052.91273333333
"agronomy_farm","8","W","C",1052.35666666667
"agronomy_farm","9","W","F",1038.8441
"allstar_mine_1","1","W","F",739.073366666667
"allstar_mine_1","10","S","F",828.601066666667
"allstar_mine_1","11","S","C",967.745266666667
"allstar_mine_1","12","S","B",638.419166666667
"allstar_mine_1","13","W","B",1008.2345
"allstar_mine_1","14","W","F",561.567633333333
"allstar_mine_1","15","W","C",770.124633333333
"allstar_mine_1","16","S","F",694.7581
"allstar_mine_1","17","S","B",657.0613
"allstar_mine_1","18","S","C",749.803633333333
"allstar_mine_1","19","W","B",1136.03966666667
"allstar_mine_1","2","W","C",816.944
"allstar_mine_1","20","W","C",618.3974
"allstar_mine_1","21","W","F",625.2653
"allstar_mine_1","22","S","C",503.2315
"allstar_mine_1","23","S","B",883.341766666667
"allstar_mine_1","24","S","F",749.173533333333
"allstar_mine_1","3","W","B",937.661166666667
"allstar_mine_1","4","S","C",1295.41833333333
"allstar_mine_1","5","S","B",980.217333333333
"allstar_mine_1","6","S","F",849.9545
"allstar_mine_1","7","W","B",1167.46866666667
"allstar_mine_1","8","W","C",1158.45033333333
"allstar_mine_1","9","W","F",1027.9384
"allstar_mine_2","1","W","F",481.3407
"allstar_mine_2","10","S","B",1248.87633333333
"allstar_mine_2","11","S","F",872.901966666667
"allstar_mine_2","12","S","C",516.043533333333
"allstar_mine_2","13","S","C",547.080733333333
"allstar_mine_2","14","S","F",921.549733333333
"allstar_mine_2","15","S","B",617.368033333333
"allstar_mine_2","16","W","B",802.088145
"allstar_mine_2","17","W","C",618.096766666667
"allstar_mine_2","18","W","F",693.759033333333
"allstar_mine_2","2","W","B",1140.54666666667
"allstar_mine_2","3","W","C",898.258266666667
"allstar_mine_2","4","S","B",267.827366666667
"allstar_mine_2","5","S","F",466.9704
"allstar_mine_2","7","W","C",1013.8207
"allstar_mine_2","8","W","B",777.374933333333
"allstar_mine_2","9","W","F",1256.39633333333
"goshen","1","S","C",822.499666666667
"goshen","10","S","F",954.338466666667
"goshen","11","S","B",470.6289
"goshen","12","S","C",936.142266666667
"goshen","13","S","C",1246.979
"goshen","14","S","B",916.0337
"goshen","15","S","F",1056.65
"goshen","16","W","F",697.664533333333
"goshen","17","W","B",700.233966666667
"goshen","18","W","C",875.4481
"goshen","19","S","C",657.710133333333
"goshen","2","S","B",960.619633333333
"goshen","20","S","F",971.9492
"goshen","21","S","B",786.959966666667
"goshen","22","W","B",1201.90333333333
"goshen","23","W","F",679.494033333333
"goshen","24","W","C",669.870833333333
"goshen","3","S","F",1002.41013333333
"goshen","4","W","C",912.342833333333
"goshen","5","W","B",849.9364
"goshen","6","W","F",1177.50866666667
"goshen","7","W","B",740.7498
"goshen","8","W","C",1210.69733333333
"goshen","9","W","F",873.372166666667
"jackson_mill","1","W","B",500.4451
"jackson_mill","10","W","F",721.975033333333
"jackson_mill","11","W","C",591.4428
"jackson_mill","12","W","B",739.3537
"jackson_mill","13","S","B",847.452666666667
"jackson_mill","14","S","F",1020.71066666667
"jackson_mill","15","S","C",575.172
"jackson_mill","16","W","B",1076.66966666667
"jackson_mill","17","W","F",744.9054
"jackson_mill","18","W","C",986.822966666667
"jackson_mill","19","W","F",812.445166666667
"jackson_mill","20","W","B",688.945033333333
"jackson_mill","21","W","C",785.7939
"jackson_mill","22","S","C",932.507366666667
"jackson_mill","23","S","F",405.740633333333
"jackson_mill","24","S","B",805.005654
"jackson_mill","3","W","C",696.036166666667
"jackson_mill","4","S","F",1056.94733333333
"jackson_mill","5","S","B",904.6651
"jackson_mill","6","S","C",894.324566666667
"jackson_mill","7","S","B",873.810733333333
"jackson_mill","8","S","C",1416.25966666667
"jackson_mill","9","S","F",413.093033333333
"reedsville","1","S","C",754.576866666667
"reedsville","10","W","B",786.31105
"reedsville","11","W","F",1010.2571
"reedsville","12","W","C",565.738433333333
"reedsville","13","W","F",830.522055333333
"reedsville","14","W","B",777.539766666667
"reedsville","15","W","C",802.986
"reedsville","16","S","C",846.644366666667
"reedsville","17","S","F",339.512833333333
"reedsville","18","S","B",566.495433333333
"reedsville","19","W","F",324.345933333333
"reedsville","2","S","F",738.813033333333
"reedsville","20","W","C",887.788633333333
"reedsville","21","W","B",431.9736
"reedsville","22","S","B",376.1502
"reedsville","23","S","F",501.3073
"reedsville","24","S","C",981.9642
"reedsville","3","S","B",906.999066666667
"reedsville","4","W","F",878.420633333333
"reedsville","5","W","B",686.135533333333
"reedsville","6","W","C",675.480333333333
"reedsville","7","S","B",777.243933333333
"reedsville","8","S","F",1039.32066666667
"reedsville","9","S","C",909.313333333333
