"site","plot","crop","treatment","poxc","mean","two.sd","z.score","date"
"agronomy_farm","1","W","F",610.9928,861.661858333333,396.165872144015,1.26547527669021,2022-05-17
"agronomy_farm","10","S","F",1115.73266666667,1031.17621666667,293.166434026542,0.576849462870942,2022-05-17
"agronomy_farm","11","S","B",1052.9641,1064.43789166667,208.898219953222,0.109850545105036,2022-05-17
"agronomy_farm","12","S","C",853.1164,1025.16618888889,372.226457876781,0.924436107364743,2022-05-17
"agronomy_farm","13","S","C",999.6685,1025.16618888889,372.226457876781,0.137000948478141,2022-05-17
"agronomy_farm","14","S","F",1177.84833333333,1031.17621666667,293.166434026542,1.0006064790718,2022-05-17
"agronomy_farm","15","S","B",966.500533333333,1064.43789166667,208.898219953222,0.937656226608959,2022-05-17
"agronomy_farm","16","W","B",711.486933333333,972.123841666667,377.815232395509,1.37970566554866,2022-05-17
"agronomy_farm","17","W","F",1000.3412,861.661858333333,396.165872144015,0.700107462140271,2022-05-17
"agronomy_farm","18","W","C",838.8939,1016.43095,356.121023612228,0.997060202732183,2022-05-17
"agronomy_farm","19","S","F",848.241466666667,1031.17621666667,293.166434026542,1.24799246276222,2022-05-17
"agronomy_farm","2","W","B",1152.67666666667,972.123841666667,377.815232395509,0.955773137336039,2022-05-17
"agronomy_farm","21","S","B",1211.39333333333,1064.43789166667,208.898219953222,1.40695733740167,2022-05-17
"agronomy_farm","22","W","C",1248.91483333333,1016.43095,356.121023612228,1.30564537288582,2022-05-17
"agronomy_farm","23","W","B",971.419033333333,972.123841666667,377.815232395509,0.00373096833002005,2022-05-17
"agronomy_farm","24","W","F",796.469333333333,861.661858333333,396.165872144015,0.329117319708454,2022-05-17
"agronomy_farm","3","W","C",925.5584,1016.43095,356.121023612228,0.510346449520201,2022-05-17
"agronomy_farm","4","S","B",1026.8936,1064.43789166667,208.898219953222,0.359450565687671,2022-05-17
"agronomy_farm","5","S","F",982.8824,1031.17621666667,293.166434026542,0.329463479180529,2022-05-17
"agronomy_farm","6","S","C",1222.71366666667,1025.16618888889,372.226457876781,1.06143705584288,2022-05-17
"agronomy_farm","7","W","B",1052.91273333333,972.123841666667,377.815232395509,0.42766349654264,2022-05-17
"agronomy_farm","8","W","C",1052.35666666667,1016.43095,356.121023612228,0.201761279366564,2022-05-17
"agronomy_farm","9","W","F",1038.8441,861.661858333333,396.165872144015,0.894485134258395,2022-05-17
"allstar_mine_1","1","W","F",739.073366666667,738.461175,412.960159131975,0.00296489456974932,2022-05-17
"allstar_mine_1","10","S","F",828.601066666667,780.6218,143.622661968502,0.668129472174651,2022-05-17
"allstar_mine_1","11","S","C",967.745266666667,879.049683333333,672.481580982193,0.263785911292289,2022-05-17
"allstar_mine_1","12","S","B",638.419166666667,789.759891666667,337.726784425063,0.896231699583072,2022-05-17
"allstar_mine_1","13","W","B",864.556333333333,1026.43145833333,296.623609410656,1.09145138730946,2022-05-17
"allstar_mine_1","14","W","F",561.567633333333,738.461175,412.960159131975,0.856709964653682,2022-05-17
"allstar_mine_1","15","W","C",770.124633333333,840.979091666667,455.965844697027,0.310788446798744,2022-05-17
"allstar_mine_1","16","S","F",694.7581,780.6218,143.622661968502,1.19568456430408,2022-05-17
"allstar_mine_1","17","S","B",657.0613,789.759891666667,337.726784425063,0.785833980521084,2022-05-17
"allstar_mine_1","18","S","C",749.803633333333,879.049683333333,672.481580982193,0.384385397771727,2022-05-17
"allstar_mine_1","19","W","B",1136.03966666667,1026.43145833333,296.623609410656,0.739039003342366,2022-05-17
"allstar_mine_1","2","W","C",816.944,840.979091666667,455.965844697027,0.10542496525211,2022-05-17
"allstar_mine_1","20","W","C",618.3974,840.979091666667,455.965844697027,0.9763086172148,2022-05-17
"allstar_mine_1","21","W","F",625.2653,738.461175,412.960159131975,0.54821692842202,2022-05-17
"allstar_mine_1","22","S","C",503.2315,879.049683333333,672.481580982193,1.117705507367,2022-05-17
"allstar_mine_1","23","S","B",883.341766666667,789.759891666667,337.726784425063,0.554186871256369,2022-05-17
"allstar_mine_1","24","S","F",749.173533333333,780.6218,143.622661968502,0.437929032029272,2022-05-17
"allstar_mine_1","3","W","B",937.661166666667,1026.43145833333,296.623609410656,0.598538274434993,2022-05-17
"allstar_mine_1","4","S","C",1295.41833333333,879.049683333333,672.481580982193,1.23830499384644,2022-05-17
"allstar_mine_1","5","S","B",980.217333333333,789.759891666667,337.726784425063,1.12787880884779,2022-05-17
"allstar_mine_1","6","S","F",849.9545,780.6218,143.622661968502,0.965484124158701,2022-05-17
"allstar_mine_1","7","W","B",1167.46866666667,1026.43145833333,296.623609410656,0.950950658402085,2022-05-17
"allstar_mine_1","8","W","C",1158.45033333333,840.979091666667,455.965844697027,1.39252202926566,2022-05-17
"allstar_mine_1","9","W","F",1027.9384,738.461175,412.960159131975,1.40196199850595,2022-05-17
"allstar_mine_2","1","W","F",481.3407,810.498688888889,800.996676834195,0.821871047430136,2022-05-17
"allstar_mine_2","10","S","B",1248.87633333333,711.357244444444,994.464172513822,1.08102253202373,2022-05-17
"allstar_mine_2","11","S","F",872.901966666667,753.807366666667,499.192289144432,0.477149197172564,2022-05-17
"allstar_mine_2","12","S","C",516.043533333333,531.562133333333,43.8932291780862,0.707106781186548,2022-05-17
"allstar_mine_2","13","S","C",547.080733333333,531.562133333333,43.8932291780862,0.707106781186548,2022-05-17
"allstar_mine_2","14","S","F",921.549733333333,753.807366666667,499.192289144432,0.672055119097137,2022-05-17
"allstar_mine_2","15","S","B",617.368033333333,711.357244444444,994.464172513822,0.189024831077672,2022-05-17
"allstar_mine_2","16","W","B",802.088145,906.669915,405.839559113372,0.515384799985872,2022-05-17
"allstar_mine_2","17","W","C",618.096766666667,843.391911111111,406.974670377224,1.10717035158782,2022-05-17
"allstar_mine_2","18","W","F",693.759033333333,810.498688888889,800.996676834195,0.291485992218968,2022-05-17
"allstar_mine_2","2","W","B",1140.54666666667,906.669915,405.839559113372,1.15255768647892,2022-05-17
"allstar_mine_2","3","W","C",898.258266666667,843.391911111111,406.974670377224,0.26963032124186,2022-05-17
"allstar_mine_2","4","S","B",267.827366666667,711.357244444444,994.464172513822,0.89199770094606,2022-05-17
"allstar_mine_2","5","S","F",466.9704,753.807366666667,499.192289144432,1.1492043162697,2022-05-17
"allstar_mine_2","7","W","C",1013.8207,843.391911111111,406.974670377224,0.837540030345961,2022-05-17
"allstar_mine_2","8","W","B",777.374933333333,906.669915,405.839559113372,0.637172886493048,2022-05-17
"allstar_mine_2","9","W","F",1256.39633333333,810.498688888889,800.996676834195,1.1133570396491,2022-05-17
"goshen","1","S","C",822.499666666667,915.832766666667,497.203734278882,0.375432015350268,2022-05-17
"goshen","10","S","F",954.338466666667,1003.56061666667,116.303108474359,0.846445991782787,2022-05-17
"goshen","11","S","B",470.6289,783.56055,442.47309231509,1.41446635031609,2022-05-17
"goshen","12","S","C",936.142266666667,915.832766666667,497.203734278882,0.0816948811917343,2022-05-17
