"site","crop","treatment","mean_respiration","sd","plot_no","max(co2_int)","plot","mol_co2","c_g_hr","zscore"
"agronomy_farm","S","B",4.01379955042951e-06,1.04875642140677e-06,87,628,15,2.48036026338965e-05,4.13393377231608e-06,0.114549212223586
"agronomy_farm","S","B",4.01379955042951e-06,1.04875642140677e-06,93,432,21,1.70623508564383e-05,2.84372514273972e-06,-1.11567794371192
"agronomy_farm","S","B",4.01379955042951e-06,1.04875642140677e-06,76,564,4,2.22758469514612e-05,3.71264115857686e-06,-0.287157614204334
"agronomy_farm","S","B",4.01379955042951e-06,1.04875642140677e-06,83,815,11,3.21893887685121e-05,5.36489812808536e-06,1.28828634569267
"agronomy_farm","S","C",4.36761951899955e-06,1.36808760199122e-06,92,476,20,1.88001828881126e-05,3.13336381468544e-06,-0.902175929756023
"agronomy_farm","S","C",4.36761951899955e-06,1.36808760199122e-06,85,495,13,1.95506103563356e-05,3.25843505938927e-06,-0.810755435540746
"agronomy_farm","S","C",4.36761951899955e-06,1.36808760199122e-06,84,805,12,3.17944269431316e-05,5.29907115718861e-06,0.680842101655879
"agronomy_farm","S","C",4.36761951899955e-06,1.36808760199122e-06,78,878,6,3.46776482684094e-05,5.7796080447349e-06,1.03208926364089
"agronomy_farm","S","F",3.41806546381389e-06,8.63987874390941e-07,82,685,10,2.70548850385654e-05,4.50914750642757e-06,1.26284416130588
"agronomy_farm","S","F",3.41806546381389e-06,8.63987874390941e-07,91,364,19,1.43766104438508e-05,2.3961017406418e-06,-1.18284498366659
"agronomy_farm","S","F",3.41806546381389e-06,8.63987874390941e-07,86,519,14,2.04985187372488e-05,3.41641978954147e-06,-0.00190474232474454
"agronomy_farm","S","F",3.41806546381389e-06,8.63987874390941e-07,77,509,5,2.01035569118683e-05,3.35059281864472e-06,-0.0780944353145415
"agronomy_farm","W","B",6.64194136348236e-06,6.94996698756558e-06,79,527,7,2.08144881975533e-05,3.46908136625888e-06,-0.456528786812967
"agronomy_farm","W","B",6.64194136348236e-06,6.94996698756558e-06,95,414,23,1.63514195707534e-05,2.72523659512557e-06,-0.563557319820987
"agronomy_farm","W","B",6.64194136348236e-06,6.94996698756558e-06,74,2591,2,0.000102334608956092,1.70557681593487e-05,1.49839946211227
"agronomy_farm","W","B",6.64194136348236e-06,6.94996698756558e-06,88,504,16,1.99060759991781e-05,3.31767933319634e-06,-0.478313355478316
"agronomy_farm","W","C",4.38736761026858e-06,2.73465710206385e-06,94,393,22,1.55219997374543e-05,2.58699995624239e-06,-0.658352249233534
"agronomy_farm","W","C",4.38736761026858e-06,2.73465710206385e-06,90,450,18,1.77732821421233e-05,2.96221369035388e-06,-0.521145381934406
"agronomy_farm","W","C",4.38736761026858e-06,2.73465710206385e-06,75,1283,3,5.06736021963204e-05,8.44560036605339e-06,1.48400059105109
"agronomy_farm","W","C",4.38736761026858e-06,2.73465710206385e-06,80,540,8,2.13279385705479e-05,3.55465642842465e-06,-0.304502959883152
"agronomy_farm","W","F",1.02706531341659e-05,1.3523098069084e-05,89,343,17,1.35471906105517e-05,2.25786510175862e-06,-0.592526061075145
"agronomy_farm","W","F",1.02706531341659e-05,1.3523098069084e-05,81,760,9,3.00170987289193e-05,5.00284978815322e-06,-0.389541162764744
"agronomy_farm","W","F",1.02706531341659e-05,1.3523098069084e-05,96,507,24,2.00245645467922e-05,3.33742742446537e-06,-0.512695069893117
"agronomy_farm","W","F",1.02706531341659e-05,1.3523098069084e-05,73,4631,1,0.000182906821333717,3.04844702222862e-05,1.49476229373301
"allstar_mine_1","S","B",4.45977727825501e-06,1.4576426134045e-06,5,983,5,3.88247474349048e-05,6.47079123915081e-06,1.37963444701911
"allstar_mine_1","S","B",4.45977727825501e-06,1.4576426134045e-06,12,592,12,2.33817400625266e-05,3.89695667708777e-06,-0.386117005630552
"allstar_mine_1","S","B",4.45977727825501e-06,1.4576426134045e-06,17,462,17,1.82472363325799e-05,3.04120605542998e-06,-0.973195493723789
"allstar_mine_1","S","B",4.45977727825501e-06,1.4576426134045e-06,23,673,23,2.65809308481088e-05,4.43015514135147e-06,-0.020321947664766
"allstar_mine_1","S","C",4.24254827429572e-06,7.1668815406966e-07,18,594,18,2.34607324276027e-05,3.91012207126712e-06,-0.463836608908552
"allstar_mine_1","S","C",4.24254827429572e-06,7.1668815406966e-07,11,739,11,2.91876788956202e-05,4.86461314927004e-06,0.867971476076402
"allstar_mine_1","S","C",4.24254827429572e-06,7.1668815406966e-07,22,515,22,2.03405340070966e-05,3.39008900118277e-06,-1.18944239314174
"allstar_mine_1","S","C",4.24254827429572e-06,7.1668815406966e-07,4,730,4,2.88322132527777e-05,4.80536887546296e-06,0.785307525973887
"allstar_mine_1","S","F",3.90518504844986e-06,6.67235178618776e-07,16,667,16,2.63439537528805e-05,4.39065895881341e-06,0.727590399787549
"allstar_mine_1","S","F",3.90518504844986e-06,6.67235178618776e-07,10,508,10,2.00640607293303e-05,3.34401012155504e-06,-0.84104517399171
"allstar_mine_1","S","F",3.90518504844986e-06,6.67235178618776e-07,6,504,6,1.99060759991781e-05,3.31767933319634e-06,-0.880507704149679
"allstar_mine_1","S","F",3.90518504844986e-06,6.67235178618776e-07,24,694,24,2.74103506814079e-05,4.56839178023465e-06,0.993962478353841
"allstar_mine_1","W","B",3.50528620025209e-06,1.04255597455261e-06,13,353,13,1.39421524359323e-05,2.32369207265538e-06,-1.13336277038148
"allstar_mine_1","W","B",3.50528620025209e-06,1.04255597455261e-06,7,463,7,1.82867325151179e-05,3.04778875251966e-06,-0.43882291109478
"allstar_mine_1","W","B",3.50528620025209e-06,1.04255597455261e-06,3,717,3,2.83187628797831e-05,4.71979381329718e-06,1.16493276398542
"allstar_mine_1","W","B",3.50528620025209e-06,1.04255597455261e-06,19,597,19,2.35792209752169e-05,3.92987016253615e-06,0.407252917490839
"allstar_mine_1","W","C",4.47294267243436e-06,2.56384854898188e-06,15,389,15,1.53640150073021e-05,2.56066916788369e-06,-0.745860556119839
"allstar_mine_1","W","C",4.47294267243436e-06,2.56384854898188e-06,2,1251,2,4.94097243551027e-05,8.23495405918378e-06,1.46732980317552
"allstar_mine_1","W","C",4.47294267243436e-06,2.56384854898188e-06,8,491,8,1.93926256261834e-05,3.23210427103057e-06,-0.483974921957279
"allstar_mine_1","W","C",4.47294267243436e-06,2.56384854898188e-06,20,587,20,2.31842591498364e-05,3.86404319163939e-06,-0.2374943250984
"allstar_mine_1","W","F",3.78998784938055e-06,9.70159064315547e-07,21,636,21,2.51195720942009e-05,4.18659534903348e-06,0.408806673298203
"allstar_mine_1","W","F",3.78998784938055e-06,9.70159064315547e-07,1,755,1,2.9819617816229e-05,4.96993630270484e-06,1.21624226039341
"allstar_mine_1","W","F",3.78998784938055e-06,9.70159064315547e-07,14,475,14,1.87606867055746e-05,3.12678111759576e-06,-0.683606179830604
"allstar_mine_1","W","F",3.78998784938055e-06,9.70159064315547e-07,9,437,9,1.72598317691286e-05,2.8766386281881e-06,-0.941442753861007
"allstar_mine_2","S","B",4.70004572202815e-06,9.55580006715263e-07,28,785,4,3.10045032923706e-05,5.1674172153951e-06,0.48909718713507
"allstar_mine_2","S","B",4.70004572202815e-06,9.55580006715263e-07,39,547,15,2.16044118483143e-05,3.60073530805238e-06,-1.15041169368389
"allstar_mine_2","S","B",4.70004572202815e-06,9.55580006715263e-07,34,810,10,3.19919078558219e-05,5.33198464263698e-06,0.661314506548825
"allstar_mine_2","S","C",3.26721198884217e-06,1.19990007323237e-06,37,620,13,2.44876331735921e-05,4.08127219559868e-06,0.678440000894024
"allstar_mine_2","S","C",3.26721198884217e-06,1.19990007323237e-06,36,287,12,1.13354043884208e-05,1.88923406473681e-06,-1.14841056755107
"allstar_mine_2","S","C",3.26721198884217e-06,1.19990007323237e-06,30,582,6,2.29867782371461e-05,3.83112970619102e-06,0.469970566657047
"allstar_mine_2","S","F",3.42958518372082e-06,1.40104786290162e-07,29,540,5,2.13279385705479e-05,3.55465642842465e-06,0.892697872896386
"allstar_mine_2","S","F",3.42958518372082e-06,1.40104786290162e-07,35,525,11,2.07354958324771e-05,3.45591597207952e-06,0.187936394293975
"allstar_mine_2","S","F",3.42958518372082e-06,1.40104786290162e-07,38,498,14,1.96690989039498e-05,3.27818315065829e-06,-1.08063426719036
"allstar_mine_2","W","B",3.65120265240656e-06,8.50170895891119e-07,26,515,2,2.03405340070966e-05,3.39008900118277e-06,-0.307130780982683
"allstar_mine_2","W","B",3.65120265240656e-06,8.50170895891119e-07,40,450,16,1.77732821421233e-05,2.96221369035388e-06,-0.810412312845062
"allstar_mine_2","W","B",3.65120265240656e-06,8.50170895891119e-07,32,699,8,2.76078315940981e-05,4.60130526568302e-06,1.11754309382774
"allstar_mine_2","W","C",4.16465302540123e-06,1.26624699163412e-06,41,423,17,1.67068852135959e-05,2.78448086893265e-06,-1.08997072892346
"allstar_mine_2","W","C",4.16465302540123e-06,1.26624699163412e-06,31,801,7,3.16364422129794e-05,5.2727403688299e-06,0.875095736258106
"allstar_mine_2","W","C",4.16465302540123e-06,1.26624699163412e-06,27,674,3,2.66204270306469e-05,4.43673783844114e-06,0.214874992665357
