"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour"
"agronomy_farm","off-site 1",4.98,154,1327,NA,NA,2.61050871602796e-05,1.30525435801398e-05,2.62099268677506,"24"
"agronomy_farm","off-site 2",4.99,155,1527,NA,NA,3.00395388799901e-05,1.50197694399951e-05,3.00997383567035,"24"
"agronomy_farm","off-site 3",5.04,156,4910,NA,NA,9.65907897188943e-05,4.82953948594471e-05,9.58241961496967,"24"
"allstar_mine_1","off-site 1",5,79,3980,NA,NA,7.82955892222401e-05,3.91477946111201e-05,7.82955892222401,"24"
"allstar_mine_1","off-site 2",4.97,80,3551,NA,NA,6.9856190283461e-05,3.49280951417305e-05,7.02778574280292,"24"
"allstar_mine_1","off-site 3",5.04,81,3779,NA,NA,7.4341465243931e-05,3.71707326219655e-05,7.37514536150109,"24"
"allstar_mine_2","off-site 1",5.13,100,1635,NA,NA,3.21641428086338e-05,1.60820714043169e-05,3.13490670649453,"24"
"allstar_mine_2","off-site 2",4.99,101,3213,NA,NA,6.32069668771501e-05,3.16034834385751e-05,6.3333634145441,"24"
"allstar_mine_2","off-site 3",4.96,102,2803,NA,NA,5.51413408517435e-05,2.75706704258717e-05,5.55860290844188,"24"
"goshen","off-site 1",4.99,52,3913,NA,NA,7.69775478961371e-05,3.84887739480686e-05,7.71318115191754,"24"
"goshen","off-site 2",4.98,53,5384,NA,NA,0.000105915440294608,5.29577201473041e-05,10.6340803508643,"24"
"goshen","off-site 3",5.04,54,4565,NA,NA,8.98038605023935e-05,4.49019302511968e-05,8.90911314507872,"24"
"jackson_mill","off-site 1",5.01,127,3146,NA,NA,6.18889255510471e-05,3.09444627755236e-05,6.17653947615241,"24"
"jackson_mill","off-site 2",4.98,128,4291,NA,NA,8.44136616463901e-05,4.2206830823195e-05,8.4752672335733,"24"
"jackson_mill","off-site 3",5.06,129,3002,NA,NA,5.90561203128555e-05,2.95280601564277e-05,5.83558501115173,"24"
"reedsville","off-site 1",5,25,2200,NA,NA,4.32789689168162e-05,2.16394844584081e-05,4.32789689168162,"24"
"reedsville","off-site 2",5.06,26,2992,NA,NA,5.885939772687e-05,2.9429698863435e-05,5.8161460204417,"24"
"reedsville","off-site 3",4.98,27,3312,NA,NA,6.51545204784069e-05,3.25772602392034e-05,6.5416185219284,"24"
"agronomy_farm","off-site 1",4.98,154,1588,NA,NA,3.12395466545018e-05,7.80988666362546e-06,1.56825033406134,"48"
"agronomy_farm","off-site 2",4.99,155,2589,NA,NA,5.09314775116532e-05,1.27328693779133e-05,2.55167723004275,"48"
"agronomy_farm","off-site 3",5.04,156,2904,NA,NA,5.71282389701973e-05,1.42820597425493e-05,2.83374201241058,"48"
"allstar_mine_1","off-site 1",5,79,2455,NA,NA,4.82953948594471e-05,1.20738487148618e-05,2.41476974297236,"48"
"allstar_mine_1","off-site 2",4.97,80,2160,NA,NA,4.2492078572874e-05,1.06230196432185e-05,2.13742849964155,"48"
"allstar_mine_1","off-site 3",5.04,81,2346,NA,NA,4.61511186722049e-05,1.15377796680512e-05,2.28924199762921,"48"
"allstar_mine_2","off-site 1",5.13,100,2317,NA,NA,4.55806231728468e-05,1.13951557932117e-05,2.22127793239994,"48"
"allstar_mine_2","off-site 2",4.99,101,1905,NA,NA,3.74756526302431e-05,9.36891315756077e-06,1.87753770692601,"48"
"allstar_mine_2","off-site 3",4.96,102,3370,NA,NA,6.62955114771229e-05,1.65738778692807e-05,3.34150763493563,"48"
"goshen","off-site 1",4.99,52,2469,NA,NA,4.85708064798269e-05,1.21427016199567e-05,2.43340713826788,"48"
"goshen","off-site 2",4.98,53,3325,NA,NA,6.5410259840188e-05,1.6352564960047e-05,3.28364758233876,"48"
"goshen","off-site 3",5.04,54,2980,NA,NA,5.86233306236873e-05,1.46558326559218e-05,2.9079033047464,"48"
"jackson_mill","off-site 1",5.01,127,2832,NA,NA,5.57118363511015e-05,1.39279590877754e-05,2.78003175404698,"48"
"jackson_mill","off-site 2",4.98,128,2000,NA,NA,3.93445171971056e-05,9.8361292992764e-06,1.97512636531655,"48"
"jackson_mill","off-site 3",5.06,129,2441,NA,NA,4.80199832390674e-05,1.20049958097668e-05,2.37252881615946,"48"
"reedsville","off-site 1",5,25,1560,NA,NA,3.06887234137424e-05,7.67218085343559e-06,1.53443617068712,"48"
"reedsville","off-site 2",5.06,26,1957,NA,NA,3.84986100773678e-05,9.62465251934196e-06,1.90210524097667,"48"
"reedsville","off-site 3",4.98,27,2348,NA,NA,4.6190463189402e-05,1.15476157973505e-05,2.31879835288162,"48"
"agronomy_farm","off-site 1",4.98,154,1527,NA,NA,3.00395388799901e-05,5.00658981333169e-06,1.00533931994612,"72"
"agronomy_farm","off-site 2",4.99,155,2350,NA,NA,4.62298077065991e-05,7.70496795109985e-06,1.54408175372742,"72"
"agronomy_farm","off-site 3",5.04,156,2972,NA,NA,5.84659525548989e-05,9.74432542581649e-06,1.93339790194772,"72"
"allstar_mine_1","off-site 1",5,79,3040,NA,NA,5.98036661396005e-05,9.96727768993342e-06,1.99345553798668,"72"
"allstar_mine_1","off-site 2",4.97,80,2188,NA,NA,4.30429018136335e-05,7.17381696893892e-06,1.44342393741226,"72"
"allstar_mine_1","off-site 3",5.04,81,2637,NA,NA,5.18757459243837e-05,8.64595765406396e-06,1.71546778850475,"72"
"allstar_mine_2","off-site 1",5.13,100,2269,NA,NA,4.46363547601163e-05,7.43939246001938e-06,1.45017396881469,"72"
"allstar_mine_2","off-site 2",4.99,101,1883,NA,NA,3.70428629410749e-05,6.17381049017915e-06,1.23723657117819,"72"
"allstar_mine_2","off-site 3",4.96,102,3341,NA,NA,6.57250159777649e-05,1.09541693296275e-05,2.20850188097328,"72"
