"","site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"1","agronomy_farm","1",4.99,130,1577,"W","F",6.22854798625075e-05,1.03809133104179e-05,2.08034334878115,2.28743178439545,1.61237929285258,0.25687310241739
"2","agronomy_farm","10",4.98,139,1717,"S","F",6.78149454178348e-05,1.13024909029725e-05,2.26957648654066,2.81558594086398,0.840860960298611,1.2986914129761
"3","agronomy_farm","11",5.03,140,2021,"S","B",7.98217849094025e-05,1.33036308182338e-05,2.64485702151764,2.34974473728333,1.42912794627058,0.412996310098666
"4","agronomy_farm","12",4.99,141,4166,"S","C",0.000164541096453523,2.74235160755872e-05,5.4956946043261,3.82905960547472,2.61740718287236,1.27350074513237
"5","agronomy_farm","13",4.94,142,1830,"S","C",7.22780140446346e-05,1.20463356741058e-05,2.43852948868538,3.82905960547472,2.61740718287236,1.06252487262097
"6","agronomy_farm","14",5.03,143,2065,"S","F",8.15596169410768e-05,1.35932694901795e-05,2.70243926246113,2.81558594086398,0.840860960298611,0.269121017017299
"7","agronomy_farm","15",4.96,144,1738,"S","B",6.86443652511339e-05,1.14407275418556e-05,2.30659829472896,2.34974473728333,1.42912794627058,0.0603814972157813
"8","agronomy_farm","16",4.97,145,1142,"W","B",4.51046404584551e-05,7.51744007640918e-06,1.51256339565577,1.94086888194327,0.630996167235995,1.35755336886956
"9","agronomy_farm","17",4.97,146,2151,"W","F",8.49562886393492e-05,1.41593814398915e-05,2.84897010863009,2.28743178439545,1.61237929285258,0.696533782992444
"10","agronomy_farm","18",4.97,147,1554,"W","C",6.13770676641324e-05,1.02295112773554e-05,2.05825176606748,2.02347722955865,0.533673807458472,0.130321316215409
"11","agronomy_farm","19",4.98,148,2404,"S","F",9.49488228214763e-05,1.58248038035794e-05,3.17767144650188,2.81558594086398,0.840860960298611,0.861225631189539
"12","agronomy_farm","2",5.05,131,1462,"W","B",5.77434188706316e-05,9.62390314510527e-06,1.90572339507035,1.94086888194327,0.630996167235995,0.111396831542965
"13","agronomy_farm","20",5.11,149,2523,"S","C",9.96488685435045e-05,1.66081447572507e-05,3.25012617558723,3.82905960547472,2.61740718287236,0.442371697973384
"14","agronomy_farm","21",5.09,150,2369,"S","B",9.35664564326445e-05,1.55944094054408e-05,3.06373465725752,2.34974473728333,1.42912794627058,0.999196638533871
"15","agronomy_farm","22",5.01,151,1491,"W","C",5.88888081642351e-05,9.81480136070585e-06,1.95904218776564,2.02347722955865,0.533673807458472,0.241477250307137
"16","agronomy_farm","23",5.01,152,1610,"W","B",6.35888538862633e-05,1.05981423143772e-05,2.11539766754036,1.94086888194327,0.630996167235995,0.553184930937352
"17","agronomy_farm","24",4.98,153,935,"W","F",3.69289306730784e-05,6.15482177884639e-06,1.23590798772016,2.28743178439545,1.61237929285258,1.30431319893095
"18","agronomy_farm","3",5.05,132,1811,"W","C",7.15275865764117e-05,1.19212644294019e-05,2.36064642166375,2.02347722955865,0.533673807458472,1.26357781623503
"19","agronomy_farm","4",5.09,133,1070,"S","B",4.22609153157153e-05,7.04348588595256e-06,1.38378897562919,2.34974473728333,1.42912794627058,1.35181145141676
"20","agronomy_farm","5",5.01,134,2369,"S","F",9.35664564326445e-05,1.55944094054408e-05,3.11265656795225,2.81558594086398,0.840860960298611,0.706586798803862
"21","agronomy_farm","6",5.02,135,3151,"S","C",0.000124452471177401,2.07420785295668e-05,4.13188815330017,3.82905960547472,2.61740718287236,0.23139582546199
"22","agronomy_farm","7",5.06,136,1714,"W","B",6.76964568702206e-05,1.12827428117034e-05,2.22979106950661,1.94086888194327,0.630996167235995,0.915765269475172
"23","agronomy_farm","8",5.01,137,1306,"W","C",5.15820143946955e-05,8.59700239911592e-06,1.71596854273771,2.02347722955865,0.533673807458472,1.1524218821433
"24","agronomy_farm","9",5.02,138,2276,"W","F",8.98933114566057e-05,1.49822185761009e-05,2.98450569245039,2.28743178439545,1.61237929285258,0.864652518355901
"25","allstar_mine_1","1",5.03,55,2552,"W","F",0.000100794257837108,1.67990429728513e-05,3.33976997472193,2.69841704949043,1.41959827775634,0.903569601739941
