"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour","mean","two.sd","zscore"
"agronomy_farm","1",4.99,130,1577,"W","F",3.10231518099178e-05,5.17052530165296e-06,1.03617741516091,"72",1.13932402317168,0.803093878184011,0.256873102417389
"agronomy_farm","10",4.98,139,1717,"S","F",3.37772680137152e-05,5.62954466895253e-06,1.13043065641617,"72",1.40238704542553,0.418816027105532,1.2986914129761
"agronomy_farm","11",5.03,140,2021,"S","B",3.97576346276752e-05,6.62627243794587e-06,1.31735038527751,"72",1.17036085874608,0.71182004747845,0.412996310098667
"agronomy_farm","12",4.99,141,4166,"S","C",8.1954629321571e-05,1.36591048869285e-05,2.73729556852274,"72",1.90717800829485,1.30367816964507,1.27350074513237
"agronomy_farm","13",4.94,142,1830,"S","C",3.60002332353516e-05,6.0000388725586e-06,1.21458276772441,"72",1.90717800829485,1.30367816964507,1.06252487262097
"agronomy_farm","14",5.03,143,2065,"S","F",4.06232140060115e-05,6.77053566766859e-06,1.34603094784664,"72",1.40238704542553,0.418816027105532,0.269121017017297
"agronomy_farm","15",4.96,144,1738,"S","B",3.41903854442848e-05,5.69839757404746e-06,1.1488704786386,"72",1.17036085874608,0.71182004747845,0.0603814972157805
"agronomy_farm","16",4.97,145,1142,"W","B",2.24657193195473e-05,3.74428655325788e-06,0.753377576108226,"72",0.966707972718305,0.314286570976905,1.35755336886956
"agronomy_farm","17",4.97,146,2151,"W","F",4.23150282454871e-05,7.05250470758118e-06,1.41901503170647,"72",1.13932402317168,0.803093878184011,0.696533782992444
"agronomy_farm","18",4.97,147,1554,"W","C",3.0570689862151e-05,5.09511497702517e-06,1.02517403964289,"72",1.00785353849857,0.265812250018916,0.130321316215407
"agronomy_farm","19",4.98,148,2404,"S","F",4.72921096709209e-05,7.88201827848682e-06,1.58273459407366,"72",1.40238704542553,0.418816027105532,0.861225631189539
"agronomy_farm","2",5.05,131,1462,"W","B",2.87608420710842e-05,4.79347367851403e-06,0.94920270861664,"72",0.966707972718305,0.314286570976905,0.111396831542966
"agronomy_farm","20",5.11,149,2523,"S","C",4.96331084441487e-05,8.27218474069145e-06,1.61882284553649,"72",1.90717800829485,1.30367816964507,0.442371697973383
"agronomy_farm","21",5.09,150,2369,"S","B",4.66035806199716e-05,7.76726343666193e-06,1.52598495808682,"72",1.17036085874608,0.71182004747845,0.999196638533871
"agronomy_farm","22",5.01,151,1491,"W","C",2.93313375704422e-05,4.88855626174037e-06,0.975759732882309,"72",1.00785353849857,0.265812250018916,0.241477250307139
"agronomy_farm","23",5.01,152,1610,"W","B",3.167233634367e-05,5.278722723945e-06,1.0536372702485,"72",0.966707972718305,0.314286570976905,0.553184930937352
"agronomy_farm","24",4.98,153,935,"W","F",1.83935617896469e-05,3.06559363160781e-06,0.615581050523657,"72",1.13932402317168,0.803093878184011,1.30431319893095
"agronomy_farm","3",5.05,132,1811,"W","C",3.56264603219791e-05,5.93774338699652e-06,1.17579076970228,"72",1.00785353849857,0.265812250018916,1.26357781623503
"agronomy_farm","4",5.09,133,1070,"S","B",2.10493167004515e-05,3.50821945007525e-06,0.689237612981385,"72",1.17036085874608,0.71182004747845,1.35181145141676
"agronomy_farm","5",5.01,134,2369,"S","F",4.66035806199716e-05,7.76726343666193e-06,1.55035198336565,"72",1.40238704542553,0.418816027105532,0.706586798803861
"agronomy_farm","6",5.02,135,3151,"S","C",6.19872868440399e-05,1.03312144740066e-05,2.05801085139575,"72",1.90717800829485,1.30367816964507,0.23139582546199
"agronomy_farm","7",5.06,136,1714,"W","B",3.37182512379195e-05,5.61970853965325e-06,1.11061433589985,"72",0.966707972718305,0.314286570976905,0.915765269475174
"agronomy_farm","8",5.01,137,1306,"W","C",2.569196972971e-05,4.28199495495166e-06,0.854689611766798,"72",1.00785353849857,0.265812250018916,1.1524218821433
